Timestamp,	LIGHT,	ORIENTATION_X,	ORIENTATION_Y,	ORIENTATION_Z,	GPS_LAT,	GPS_LONG,	
1511049192,	159,	-11,	-170,	966,	3008.04,	9738.09,	
1511049194,	158,	-12,	-170,	966,	3008.06,	9738.07,	
1511049195,	158,	-11,	-169,	967,	3008.07,	9738.06,	
1511049197,	160,	-11,	-168,	966,	3008.08,	9738.04,	
1511049198,	161,	-12,	-168,	966,	3008.09,	9738.03,	
1511049200,	161,	-10,	-169,	966,	3008.12,	9738.02,	
1511049201,	159,	-10,	-167,	966,	3008.13,	9738.01,	
1511049203,	158,	-10,	-169,	964,	3008.15,	9738,	
1511049204,	158,	-13,	-168,	965,	3008.16,	9737.99,	
1511049206,	160,	-10,	-170,	968,	3008.17,	9737.97,	
1511049207,	160,	-12,	-172,	965,	3008.17,	9737.95,	
1511049209,	158,	-13,	-170,	966,	3008.17,	9737.92,	
1511049210,	158,	-11,	-168,	967,	3008.17,	9737.92,	
1511049212,	159,	-18,	-168,	970,	3008.16,	9737.89,	
1511049213,	160,	-11,	-172,	967,	3008.15,	9737.88,	
1511049215,	160,	-14,	-171,	968,	3008.15,	9737.86,	
1511049216,	159,	-12,	-173,	966,	3008.15,	9737.84,	
1511049218,	158,	-14,	-172,	963,	3008.17,	9737.82,	
1511049219,	159,	-13,	-172,	965,	3008.18,	9737.82,	
1511049221,	161,	-11,	-173,	964,	3008.19,	9737.79,	
1511049222,	161,	-13,	-171,	967,	3008.2,	9737.78,	
1511049224,	159,	-10,	-170,	966,	3008.2,	9737.77,	
1511049225,	158,	-11,	-170,	965,	3008.19,	9737.76,	
1511049227,	158,	-16,	-169,	964,	3008.18,	9737.74,	
1511049228,	159,	-12,	-168,	965,	3008.17,	9737.74,	
1511049230,	160,	-12,	-167,	967,	3008.17,	9737.71,	
1511049231,	160,	-13,	-170,	966,	3008.17,	9737.7,	
1511049233,	160,	-10,	-165,	966,	3008.18,	9737.68,	
1511049234,	100,	-10,	-169,	964,	3008.18,	9737.67,	
1511049236,	156,	-6,	-169,	966,	3008.18,	9737.64,	
1511049237,	158,	-10,	-170,	966,	3008.19,	9737.62,	
1511049239,	159,	-8,	-171,	965,	3008.21,	9737.59,	
1511049240,	160,	-12,	-171,	965,	3008.21,	9737.58,	
1511049242,	161,	-9,	-174,	966,	3008.25,	9737.55,	
1511049243,	162,	-11,	-170,	966,	3008.26,	9737.54,	
1511049245,	163,	-12,	-175,	966,	3008.28,	9737.52,	
1511049246,	163,	-11,	-174,	965,	3008.29,	9737.51,	
1511049248,	157,	-12,	-175,	966,	3008.32,	9737.49,	
1511049249,	157,	-11,	-173,	968,	3008.32,	9737.48,	
1511049251,	158,	-9,	-173,	963,	3008.34,	9737.47,	
1511049252,	158,	-13,	-174,	967,	3008.35,	9737.47,	
1511049254,	158,	-12,	-170,	966,	3008.37,	9737.47,	
1511049255,	160,	-11,	-172,	965,	3008.37,	9737.48,	
1511049257,	160,	-12,	-168,	968,	3008.37,	9737.5,	
1511049258,	159,	-9,	-171,	967,	3008.37,	9737.51,	
1511049260,	162,	-10,	-169,	966,	3008.36,	9737.54,	
1511049261,	162,	-8,	-169,	966,	3008.35,	9737.56,	
1511049263,	161,	-10,	-171,	967,	3008.34,	9737.6,	
1511049264,	161,	-9,	-171,	966,	3008.34,	9737.62,	
1511049266,	161,	-11,	-169,	963,	3008.33,	9737.65,	
1511049267,	158,	-9,	-171,	964,	3008.33,	9737.66,	
1511049269,	161,	-12,	-174,	966,	3008.32,	9737.69,	
1511049270,	162,	-8,	-176,	968,	3008.32,	9737.7,	
1511049272,	59,	7,	-193,	955,	3008.31,	9737.72,	
1511049273,	160,	-8,	-175,	965,	3008.31,	9737.74,	
1511049275,	159,	-10,	-174,	965,	3008.3,	9737.75,	
1511049276,	159,	-10,	-173,	966,	3008.3,	9737.77,	
1511049278,	160,	-11,	-171,	966,	3008.3,	9737.8,	
1511049279,	162,	-10,	-172,	964,	3008.29,	9737.81,	
1511049281,	164,	-6,	-170,	966,	3008.29,	9737.84,	
1511049282,	164,	-8,	-169,	966,	3008.29,	9737.86,	
1511049284,	157,	-12,	-166,	967,	3008.28,	9737.9,	
1511049285,	103,	-13,	-161,	966,	3008.28,	9737.92,	
1511049287,	160,	-13,	-161,	968,	3008.27,	9737.95,	
1511049288,	159,	-14,	-163,	969,	3008.27,	9737.97,	
1511049290,	161,	-15,	-166,	965,	3008.26,	9738,	
1511049291,	162,	-14,	-165,	967,	3008.26,	9738.02,	
1511049293,	162,	-14,	-171,	966,	3008.26,	9738.04,	
1511049294,	160,	-14,	-169,	965,	3008.25,	9738.06,	
1511049296,	160,	-16,	-168,	966,	3008.25,	9738.1,	
1511049297,	161,	-13,	-170,	965,	3008.25,	9738.11,	
1511049299,	162,	-16,	-168,	968,	3008.25,	9738.13,	
1511049300,	161,	-15,	-167,	966,	3008.25,	9738.15,	
1511049302,	160,	-16,	-163,	972,	3008.24,	9738.17,	
1511049303,	161,	-18,	-163,	969,	3008.24,	9738.18,	
1511049305,	162,	-14,	-161,	968,	3008.23,	9738.2,	
1511049306,	161,	-13,	-160,	969,	3008.22,	9738.21,	
1511049308,	160,	-13,	-162,	966,	3008.21,	9738.2,	
1511049309,	160,	-13,	-164,	968,	3008.2,	9738.18,	
1511049311,	162,	-13,	-162,	968,	3008.18,	9738.16,	
1511049312,	162,	-14,	-164,	967,	3008.17,	9738.15,	
1511049314,	159,	-15,	-165,	968,	3008.15,	9738.13,	
1511049315,	159,	-14,	-166,	968,	3008.14,	9738.13,	
1511049317,	162,	-14,	-167,	968,	3008.12,	9738.13,	
1511049318,	162,	-13,	-167,	963,	3008.13,	9738.15,	
1511049320,	160,	-14,	-168,	966,	3008.13,	9738.17,	
1511049321,	159,	-14,	-169,	970,	3008.14,	9738.19,	
1511049323,	160,	-14,	-167,	966,	3008.15,	9738.19,	
1511049324,	162,	-15,	-167,	966,	3008.16,	9738.2,	
1511049326,	161,	-15,	-166,	965,	3008.19,	9738.23,	
1511049327,	159,	-13,	-169,	967,	3008.19,	9738.24,	
1511049329,	160,	-15,	-163,	967,	3008.2,	9738.26,	
1511049330,	161,	-14,	-163,	969,	3008.19,	9738.27,	
1511049332,	161,	-15,	-164,	967,	3008.17,	9738.27,	
1511049333,	160,	-14,	-161,	966,	3008.17,	9738.27,	
1511049335,	159,	-14,	-161,	967,	3008.15,	9738.26,	
1511049336,	159,	-14,	-161,	967,	3008.14,	9738.25,	
1511049338,	161,	-14,	-167,	965,	3008.12,	9738.23,	
1511049339,	162,	-13,	-167,	965,	3008.11,	9738.22,	
1511049341,	160,	-14,	-168,	968,	3008.09,	9738.21,	
1511049342,	159,	-15,	-171,	965,	3008.08,	9738.21,	
1511049344,	159,	-14,	-167,	966,	3008.05,	9738.22,	
1511049345,	159,	-15,	-167,	966,	3008.04,	9738.22,	
1511049347,	162,	-13,	-166,	965,	3008.02,	9738.25,	
1511049348,	162,	-13,	-167,	966,	3008.02,	9738.27,	
1511049350,	159,	-15,	-163,	968,	3008.02,	9738.29,	
1511049351,	159,	-14,	-161,	967,	3008.02,	9738.31,	
1511049353,	159,	-13,	-162,	966,	3008.03,	9738.34,	
1511049354,	160,	-13,	-166,	966,	3008.03,	9738.34,	
1511049356,	162,	-14,	-165,	966,	3008.05,	9738.37,	
1511049357,	163,	-14,	-168,	966,	3008.06,	9738.38,	
1511049359,	161,	-16,	-168,	967,	3008.08,	9738.39,	
1511049360,	160,	-14,	-169,	964,	3008.09,	9738.4,	
1511049362,	159,	-14,	-170,	966,	3008.11,	9738.42,	
1511049363,	158,	-15,	-168,	965,	3008.12,	9738.42,	
1511049365,	160,	-14,	-165,	965,	3008.13,	9738.45,	
1511049366,	161,	-13,	-163,	969,	3008.13,	9738.46,	
1511049368,	161,	-15,	-163,	967,	3008.13,	9738.49,	
1511049369,	160,	-13,	-160,	968,	3008.12,	9738.5,	
1511049371,	159,	-13,	-163,	965,	3008.11,	9738.53,	
1511049372,	158,	-13,	-163,	968,	3008.11,	9738.54,	
1511049374,	160,	-13,	-165,	966,	3008.1,	9738.57,	
1511049375,	161,	-14,	-167,	966,	3008.09,	9738.59,	
1511049377,	161,	-15,	-168,	967,	3008.07,	9738.6,	
1511049378,	161,	-14,	-168,	966,	3008.06,	9738.61,	
1511049380,	159,	-16,	-170,	964,	3008.04,	9738.6,	
1511049381,	158,	-13,	-164,	969,	3008.04,	9738.6,	
1511049383,	160,	-13,	-164,	966,	3008.02,	9738.57,	
1511049384,	161,	-15,	-164,	969,	3008.01,	9738.55,	
1511049386,	162,	-14,	-165,	968,	3008,	9738.53,	
1511049387,	162,	-13,	-163,	967,	3007.99,	9738.51,	
1511049389,	160,	-14,	-165,	969,	3007.97,	9738.48,	
1511049390,	159,	-15,	-169,	967,	3007.96,	9738.47,	
1511049392,	159,	-15,	-167,	964,	3007.94,	9738.43,	
1511049393,	159,	-14,	-168,	966,	3007.93,	9738.42,	
1511049395,	161,	-14,	-169,	966,	3007.91,	9738.4,	
1511049396,	161,	-15,	-170,	966,	3007.9,	9738.38,	
1511049398,	163,	-14,	-163,	968,	3007.89,	9738.36,	
1511049399,	162,	-14,	-163,	969,	3007.88,	9738.34,	
1511049401,	161,	-15,	-162,	967,	3007.85,	9738.31,	
1511049402,	161,	-14,	-161,	971,	3007.85,	9738.3,	
1511049404,	161,	-15,	-164,	969,	3007.83,	9738.27,	
1511049405,	161,	-14,	-165,	967,	3007.82,	9738.26,	
1511049407,	163,	-14,	-168,	964,	3007.82,	9738.25,	
1511049408,	163,	-14,	-165,	969,	3007.81,	9738.24,	
1511049410,	162,	-17,	-169,	967,	3007.8,	9738.23,	
1511049411,	161,	-14,	-167,	964,	3007.8,	9738.23,	
1511049413,	160,	-14,	-170,	967,	3007.8,	9738.22,	
1511049414,	160,	-16,	-168,	966,	3007.8,	9738.21,	
1511049416,	163,	-15,	-166,	966,	3007.84,	9738.22,	
1511049417,	165,	-16,	-167,	968,	3007.86,	9738.23,	
1511049419,	162,	-15,	-164,	968,	3007.89,	9738.24,	
1511049420,	161,	-14,	-163,	965,	3007.9,	9738.24,	
1511049422,	162,	-14,	-164,	968,	3007.94,	9738.23,	
1511049423,	162,	-14,	-162,	969,	3007.96,	9738.22,	
1511049425,	163,	-14,	-163,	968,	3007.97,	9738.2,	
1511049426,	163,	-14,	-166,	970,	3007.98,	9738.18,	
1511049428,	160,	-15,	-165,	967,	3007.99,	9738.16,	
1511049429,	161,	-15,	-166,	969,	3008,	9738.15,	
1511049431,	163,	-14,	-168,	966,	3008.01,	9738.12,	
1511049432,	163,	-14,	-170,	966,	3008.02,	9738.11,	
1511049434,	161,	-14,	-170,	966,	3008.03,	9738.1,	
1511049435,	161,	-14,	-167,	964,	3008.05,	9738.09,	
1511049437,	162,	-14,	-170,	963,	3008.06,	9738.07,	
1511049438,	163,	-13,	-167,	966,	3008.07,	9738.06,	
1511049440,	162,	-15,	-167,	966,	3008.09,	9738.03,	
1511049441,	160,	-15,	-160,	967,	3008.09,	9738.03,	
1511049443,	160,	-12,	-164,	967,	3008.11,	9738.02,	
1511049444,	161,	-14,	-165,	967,	3008.12,	9738.02,	
1511049446,	162,	-12,	-165,	967,	3008.13,	9738.01,	
1511049447,	163,	-7,	-167,	967,	3008.14,	9738.01,	
1511049449,	162,	-14,	-164,	967,	3008.16,	9737.98,	
1511049450,	160,	-14,	-168,	966,	3008.17,	9737.97,	
1511049452,	161,	-14,	-165,	966,	3008.17,	9737.95,	
1511049453,	162,	-16,	-164,	966,	3008.17,	9737.93,	
1511049455,	163,	-13,	-163,	967,	3008.17,	9737.92,	
1511049456,	162,	-14,	-168,	969,	3008.16,	9737.9,	
1511049458,	160,	-13,	-165,	968,	3008.15,	9737.87,	
1511049459,	160,	-14,	-164,	966,	3008.15,	9737.86,	
1511049461,	163,	-16,	-166,	965,	3008.16,	9737.84,	
1511049462,	163,	-16,	-164,	966,	3008.17,	9737.83,	
1511049464,	162,	-14,	-165,	968,	3008.18,	9737.81,	
1511049465,	161,	-15,	-167,	967,	3008.19,	9737.81,	
1511049467,	160,	-14,	-165,	968,	3008.19,	9737.79,	
1511049468,	162,	-14,	-164,	968,	3008.2,	9737.78,	
1511049470,	163,	-14,	-166,	966,	3008.19,	9737.76,	
1511049471,	163,	-16,	-163,	968,	3008.18,	9737.75,	
1511049473,	161,	-14,	-164,	966,	3008.17,	9737.74,	
1511049474,	160,	-14,	-167,	967,	3008.17,	9737.73,	
1511049476,	161,	-14,	-165,	968,	3008.17,	9737.7,	
1511049477,	162,	-13,	-164,	967,	3008.18,	9737.69,	
1511049479,	163,	-14,	-164,	968,	3008.18,	9737.65,	
1511049480,	162,	-16,	-164,	966,	3008.19,	9737.64,	
1511049482,	160,	-13,	-167,	965,	3008.2,	9737.62,	
1511049483,	160,	-14,	-164,	970,	3008.2,	9737.6,	
1511049485,	162,	-14,	-165,	967,	3008.22,	9737.59,	
1511049486,	163,	-14,	-164,	968,	3008.23,	9737.57,	
1511049488,	162,	-15,	-164,	969,	3008.26,	9737.55,	
1511049489,	161,	-14,	-165,	967,	3008.27,	9737.54,	
1511049491,	160,	-14,	-166,	965,	3008.29,	9737.53,	
1511049492,	161,	-16,	-165,	968,	3008.3,	9737.52,	
1511049494,	163,	-12,	-164,	968,	3008.31,	9737.5,	
1511049495,	162,	-13,	-166,	968,	3008.32,	9737.49,	
1511049497,	160,	-15,	-163,	965,	3008.34,	9737.48,	
1511049498,	160,	-12,	-165,	969,	3008.34,	9737.48,	
