TIME+	InfluxDB					Grafana				
	VIRT	RES		%CPU	%MEM	VIRT	RES		%CPU	%MEM
50:12.7	810924	74040	11188	2	7.8	925480	26620	15212	1.8	2.8
50:13.6	810924	74040	11188	17.9	7.8	925480	26620	15212	0.2	2.8
50:13.7	810924	74040	11188	1.8	7.8	925480	26620	15212	0.4	2.8
50:13.7	810924	74040	11188	0.2	7.8	925480	26620	15212	0.2	2.8
50:13.8	810924	74040	11188	2	7.8	925480	26620	15212	0.4	2.8
50:13.8	810924	74040	11188	0.2	7.8	925480	26620	15212	0.2	2.8
50:13.9	810924	74040	11188	2	7.8	925480	26620	15212	0.4	2.8
50:13.9	810924	74040	11188	0.2	7.8	925480	26620	15212	0.2	2.8
50:14.0	810924	74040	11188	1.8	7.8	925480	26620	15212	0.2	2.8
50:14.0	810924	74040	11188	0.2	7.8	925480	26620	15212	0.4	2.8
50:14.1	810924	74040	11188	2	7.8	925480	26620	15212	0.2	2.8
50:14.1	810924	74040	11188	0.2	7.8	925480	26620	15212	0.4	2.8
50:14.2	810924	74040	11188	1.8	7.8	925480	26620	15212	0.2	2.8
50:14.3	810924	74040	11188	0.4	7.8	925480	26620	15212	0.4	2.8
50:14.3	810924	74040	11188	1.8	7.8	925480	26620	15212	2.6	2.8
50:14.4	810924	74040	11188	0.2	7.8	925480	26620	15212	0.2	2.8
50:14.4	810924	74040	11188	1.8	7.8	925480	26620	15212	0.2	2.8
50:14.5	810924	74040	11188	0.4	7.8	925480	26620	15212	0.4	2.8
50:14.6	810924	74040	11188	1.8	7.8	925480	26620	15212	0.2	2.8
50:14.6	810924	74040	11188	0.2	7.8	925480	26620	15212	0.4	2.8
50:14.7	810924	74040	11188	2	7.8	925480	26620	15212	0.2	2.8
50:14.7	810924	74040	11188	0.2	7.8	925480	26620	15212	0.4	2.8
50:14.8	810924	74040	11188	1.8	7.8	925480	26620	15212	0.2	2.8
50:14.8	810924	74040	11188	0.4	7.8	925480	26884	15212	0.4	2.8
50:14.9	810924	74040	11188	1.8	7.8	925480	26884	15212	1.6	2.8
50:15.9	810924	74040	11188	19.8	7.8	925480	26884	15212	0.4	2.8
50:16.0	810924	74040	11188	1.8	7.8	925480	26884	15212	0.2	2.8
50:16.0	810924	74040	11188	0.4	7.8	925480	26884	15212	0.2	2.8
50:16.1	810924	74040	11188	1.8	7.8	925480	26884	15212	0.4	2.8
50:16.1	810924	74040	11188	0.4	7.8	925480	26884	15212	0.2	2.8
50:16.2	810924	74040	11188	1.8	7.8	925480	26884	15212	0.4	2.8
50:16.2	810924	74040	11188	0.2	7.8	925480	26884	15212	0.2	2.8
50:16.3	810924	74040	11188	2	7.8	925480	26884	15212	0.4	2.8
50:16.3	810924	74040	11188	0.2	7.8	925480	26884	15212	0.2	2.8
50:16.4	810924	74040	11188	1.8	7.8	925480	26884	15212	0.4	2.8
50:16.4	810924	74040	11188	0.4	7.8	925480	26884	15212	0.2	2.8
50:16.5	810924	74040	11188	1.8	7.8	925480	26884	15212	0.4	2.8
50:16.5	810924	74040	11188	0.2	7.8	925480	26884	15212	0.2	2.8
50:16.6	810924	74040	11188	2.4	7.8	925480	26884	15212	0.4	2.8
50:16.6	810924	74040	11188	0.2	7.8	925480	26884	15212	0.2	2.8
50:16.8	810924	74040	11188	2	7.8	925480	26884	15212	0.4	2.8
50:16.8	810924	74040	11188	0.2	7.8	925480	26884	15212	0.2	2.8
50:16.8	810924	74040	11188	1.8	7.8	925480	26884	15212	0.2	2.8
50:16.9	810924	74040	11188	0.4	7.8	925480	26884	15212	0.4	2.8
50:17.0	810924	74040	11188	1.8	7.8	925480	26884	15212	0.2	2.8
50:17.0	810924	74040	11188	0.2	7.8	925480	26884	15212	0.2	2.8
50:17.1	810924	74040	11188	1.8	7.8	925480	26884	15212	0.4	2.8
50:17.1	810924	74040	11188	0.4	7.8	925480	26884	15212	0.2	2.8
50:17.1	810924	74040	11188	1	7.8	925480	26884	15212	1.8	2.8
50:18.3	810924	74040	11188	23.2	7.8	925480	26884	15212	0.4	2.8
50:18.4	810924	74040	11188	1.8	7.8	925480	26884	15212	0.2	2.8
50:18.4	810924	74040	11188	0.4	7.8	925480	26884	15212	0.4	2.8
50:18.5	810924	74040	11188	1.8	7.8	925480	26884	15212	0.2	2.8
50:18.5	810924	73320	11188	0.2	7.8	925480	26884	15212	0.4	2.8
50:18.6	810924	73320	11188	2	7.8	925480	26884	15212	0.4	2.8
50:18.6	810924	73320	11188	0.2	7.8	925480	26884	15212	0.2	2.8
50:18.7	810924	73320	11188	1.8	7.8	925480	26884	15212	0.4	2.8
50:18.7	810924	73320	11188	0.4	7.8	925480	26884	15212	0.2	2.8
50:18.8	810924	73320	11188	1.8	7.8	925480	26884	15212	0.2	2.8
50:18.8	810924	73320	11188	0.2	7.8	925480	26884	15212	0.4	2.8
50:18.9	810924	73320	11188	1.8	7.8	925480	26884	15212	0.2	2.8
50:18.9	810924	73320	11188	0.4	7.8	925480	26884	15212	0.4	2.8
50:19.0	810924	73320	11188	1.8	7.8	925480	26884	15212	0.2	2.8
50:19.1	810924	73320	11188	0.4	7.8	925480	26884	15212	0.2	2.8
50:19.1	810924	73320	11188	1.8	7.8	925480	26884	15212	0.4	2.8
50:19.2	810924	73320	11188	0.2	7.8	925480	26884	15212	0.2	2.8
50:19.2	810924	73320	11188	2	7.8	925480	26884	15212	0.4	2.8
50:19.3	810924	73320	11188	0.2	7.8	925480	26884	15212	0.2	2.8
50:19.3	810924	73320	11188	1.8	7.8	925480	26884	15212	0.4	2.8
50:19.4	810924	73320	11188	0.2	7.8	925480	26884	15212	0.2	2.8
50:19.5	810924	73320	11188	2	7.8	925480	26884	15212	0.2	2.8
50:19.5	810924	73320	11188	0.2	7.8	925480	26884	15212	0.4	2.8
50:19.6	810924	73584	11188	1.8	7.8	925480	26884	15212	1.8	2.8
50:20.5	810924	73584	11188	18.3	7.8	925480	26884	15212	0.2	2.8
50:20.6	810924	73584	11188	1.8	7.8	925480	26884	15212	0.4	2.8
50:20.6	810924	73584	11188	0.4	7.8	925480	26884	15212	0.2	2.8
50:20.7	810924	73584	11188	1.8	7.8	925480	26884	15212	0.4	2.8
50:20.7	810924	73584	11188	0.2	7.8	925480	26884	15212	0.2	2.8
50:20.8	810924	73584	11188	2	7.8	925480	26884	15212	0.4	2.8
50:20.8	810924	73584	11188	0.2	7.8	925480	26884	15212	0.2	2.8
50:20.9	810924	73584	11188	1.8	7.8	925480	26884	15212	0.4	2.8
50:20.9	810924	73584	11188	0.4	7.8	925480	26884	15212	0.2	2.8
50:21.0	810924	73584	11188	1.8	7.8	925480	26884	15212	0.2	2.8
50:21.0	810924	73584	11188	0.2	7.8	925480	26884	15212	0.2	2.8
50:21.1	810924	73584	11188	1.2	7.8	925480	26884	15212	0.4	2.8
50:21.1	810924	73584	11188	0.2	7.8	925480	26884	15212	0.2	2.8
50:21.2	810924	73584	11188	1.8	7.8	925480	26884	15212	0.2	2.8
50:21.2	810924	73584	11188	0.4	7.8	925480	26884	15212	0.4	2.8
50:21.3	810924	73584	11188	1.8	7.8	925480	26884	15212	0.4	2.8
50:21.3	810924	73584	11188	0.2	7.8	925480	26884	15212	0.2	2.8
50:21.4	810924	73584	11188	2	7.8	925480	26884	15212	0.2	2.8
50:21.4	810924	73584	11188	0.2	7.8	925480	26884	15212	0.4	2.8
50:21.5	810924	73584	11188	1.8	7.8	925480	26884	15212	0.2	2.8
50:21.5	810924	73584	11188	0.4	7.8	925480	26884	15212	0.4	2.8
50:21.6	810924	73584	11188	1.8	7.8	925480	26884	15212	0.2	2.8
50:21.6	810924	73584	11188	0.2	7.8	925480	26884	15212	0.4	2.8
50:21.7	810924	73584	11188	2.6	7.8	925480	26884	15212	2.8	2.8
50:23.0	810924	73584	11188	24.2	7.8	925480	26884	15212	0.4	2.8
50:23.0	810924	73584	11188	1	7.8	925480	26884	15212	0.2	2.8
50:23.1	810924	73584	11188	2	7.8	925480	26884	15212	0.4	2.8
50:23.1	810924	73584	11188	0.2	7.8	925480	26884	15212	0.2	2.8
50:23.2	810924	73584	11188	1.8	7.8	925480	26884	15212	0.4	2.8
50:23.2	810924	73584	11188	0.2	7.8	925480	26884	15212	0.2	2.8
50:23.3	810924	73584	11188	1.8	7.8	925480	26884	15212	0.2	2.8
50:23.3	810924	73584	11188	0.4	7.8	925480	26884	15212	0.4	2.8
50:23.4	810924	73584	11188	1.8	7.8	925480	26780	15212	0.2	2.8
50:23.4	810924	73584	11188	0.2	7.8	925480	26780	15212	0.4	2.8
50:23.5	810924	73584	11188	1.6	7.8	925480	26780	15212	0.2	2.8
50:23.5	810924	73584	11188	0.2	7.8	925480	26780	15212	0.2	2.8
50:23.6	810924	73584	11188	2	7.8	925480	26780	15212	0.4	2.8
50:23.6	810924	73584	11188	0.2	7.8	925480	26780	15212	0.2	2.8
50:23.7	810924	73584	11188	1.8	7.8	925480	26780	15212	0.4	2.8
50:23.7	810924	73584	11188	0.2	7.8	925480	26780	15212	0	2.8
50:23.8	810924	73584	11188	1.8	7.8	925480	26780	15212	0.4	2.8
50:23.8	810924	73584	11188	0.2	7.8	925480	26780	15212	0.2	2.8
50:23.9	810924	73584	11188	2	7.8	925480	26780	15212	0.4	2.8
50:23.9	810924	73584	11188	0.2	7.8	925480	26780	15212	0.2	2.8
50:24.0	810924	73584	11188	1.8	7.8	925480	26780	15212	0.4	2.8
50:24.0	810924	73584	11188	0.2	7.8	925480	26780	15212	0.2	2.8
50:24.1	810924	73584	11188	1.8	7.8	925480	26780	15212	0.4	2.8
50:24.2	810924	73584	11188	0.4	7.8	925480	26780	15212	1.8	2.8
50:25.3	810924	74376	11188	22.7	7.9	925480	26780	15212	0.2	2.8
50:25.3	810924	74376	11188	0.4	7.9	925480	26780	15212	0.4	2.8
50:25.4	810924	74376	11188	1.8	7.9	925480	26780	15212	0.2	2.8
50:25.4	810924	74376	11188	0.4	7.9	925480	26780	15212	0.6	2.8
50:25.5	810924	74376	11188	1.8	7.9	925480	26780	15212	0.2	2.8
50:25.5	810924	74376	11188	0.4	7.9	925480	26780	15212	0.4	2.8
50:25.6	810924	74376	11188	1.8	7.9	925480	26780	15212	0.2	2.8
50:25.6	810924	74376	11188	0.2	7.9	925480	26780	15212	0.2	2.8
50:25.7	810924	74376	11188	2	7.9	925480	26780	15212	0.4	2.8
50:25.7	810924	74376	11188	0.2	7.9	925480	26780	15212	0.2	2.8
50:25.8	810924	74376	11188	1.8	7.9	925480	26780	15212	0.4	2.8
50:25.8	810924	74376	11188	0.4	7.9	925480	26780	15212	0.2	2.8
50:25.9	810924	74376	11188	1.8	7.9	925480	26780	15212	1.2	2.8
50:25.9	810924	74376	11188	0.2	7.9	925480	26780	15212	1	2.8
50:26.0	810924	74376	11188	2	7.9	925480	26780	15212	0.4	2.8
50:26.1	810924	74376	11188	0.2	7.9	925480	26780	15212	0.2	2.8
50:26.1	810924	74376	11188	1.8	7.9	925480	26780	15212	0.2	2.8
50:26.2	810924	74376	11188	0.2	7.9	925480	26780	15212	0.4	2.8
50:26.3	810924	74376	11188	2	7.9	925480	26780	15212	0.4	2.8
50:26.3	810924	74376	11188	0.2	7.9	925480	26780	15212	0.2	2.8
50:26.4	810924	74376	11188	1.8	7.9	925480	26780	15212	0.2	2.8
50:26.4	810924	74340	11188	0.2	7.9	925480	26780	15212	0.4	2.8
50:26.5	810924	74340	11188	2.8	7.9	925480	26780	15212	0.2	2.8
50:27.6	810924	74340	11188	20.8	7.9	925480	26780	15212	1.8	2.8
50:27.6	810924	74340	11188	1.8	7.9	925480	26780	15212	0.2	2.8
50:27.7	810924	74340	11188	0.2	7.9	925480	26780	15212	0.4	2.8
50:27.8	810924	74340	11188	2	7.9	925480	26780	15212	0.2	2.8
50:27.8	810924	74340	11188	0.2	7.9	925480	26780	15212	0.4	2.8
50:27.9	810924	74340	11188	1.8	7.9	925480	26780	15212	0.2	2.8
50:27.9	810924	74340	11188	0.2	7.9	925480	26780	15212	0.4	2.8
50:28.0	810924	74340	11188	2	7.9	925480	26780	15212	0.2	2.8
50:28.0	810924	74340	11188	0.2	7.9	925480	26780	15212	0.4	2.8
50:28.1	810924	74340	11188	1.8	7.9	925480	26780	15212	0.4	2.8
50:28.1	810924	74340	11188	0.4	7.9	925480	26780	15212	0.2	2.8
50:28.2	810924	74340	11188	1.8	7.9	925480	26780	15212	0.2	2.8
50:28.2	810924	74340	11188	0.2	7.9	925480	26780	15212	0.4	2.8
50:28.3	810924	74340	11188	1.8	7.9	925480	26780	15212	0.2	2.8
50:28.3	810924	74340	11188	0.4	7.9	925480	26780	15212	0.4	2.8
50:28.4	810924	74340	11188	1.8	7.9	925480	26780	15212	0.2	2.8
50:28.4	810924	74340	11188	0.2	7.9	925480	26780	15212	0.4	2.8
50:28.5	810924	74340	11188	2	7.9	925480	26780	15212	0.2	2.8
50:28.5	810924	74340	11188	0.2	7.9	925480	26780	15212	0.2	2.8
