Time Since Start (5s)	InfluxDB					Grafana					Python				
	VIRT	RES	SHR	%CPU	%MEM	VIRT	RES	SHR	%CPU	%MEM	VIRT	RES	SHR	%CPU	%MEM
0	823108	111792	11448	0	11.8	941728	24340	14908	0	2.6	16824	13092	6288	0	1.4
1	823108	111792	11448	3	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
2	823108	111792	11448	1.2	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
3	823108	111792	11448	3	11.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.4	1.4
4	823108	111792	11448	1.2	11.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.8	1.4
5	823108	111792	11448	3	11.8	941728	24340	14908	1.6	2.6	16824	13092	6288	1.6	1.4
6	823108	111792	11448	1	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
7	823108	111792	11448	4.2	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
8	823108	111792	11448	1	11.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.8	1.4
9	823108	111792	11448	9.7	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
10	823108	111792	11448	1	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
11	823108	111792	11448	3.2	11.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.8	1.4
12	823108	111792	11448	0.8	11.8	941728	24340	14908	1.4	2.6	16824	13092	6288	1.4	1.4
13	823108	111792	11448	3	11.8	941728	24340	14908	1.6	2.6	16824	13092	6288	1.8	1.4
14	823108	111792	11448	1	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.2	1.4
15	823108	111792	11448	3.2	11.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.8	1.4
16	823108	111792	11448	1	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
17	823108	111792	11448	2.6	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.2	1.4
18	823108	111792	11448	1.2	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
19	823108	111792	11448	8.3	11.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
20	823108	111792	11448	1	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
21	823108	111792	11448	3	11.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
22	823108	111792	11448	1	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
23	823108	111792	11448	3	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
24	823108	111792	11448	1.6	11.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.4	1.4
25	823108	111792	11448	2.4	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
26	823108	111792	11448	3.2	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
27	823108	111792	11448	1	11.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
28	823108	111792	11448	7.7	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
29	823108	111792	11448	0.8	11.8	941728	24340	14908	1.6	2.6	16824	13092	6288	1.6	1.4
30	823108	111792	11448	2.8	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
31	823108	111792	11448	0.8	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
32	823108	111792	11448	3.2	11.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.4	1.4
33	823108	111792	11448	0.8	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
34	823108	111792	11448	3.2	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
35	823108	111792	11448	1	11.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
36	823108	111792	11448	2.6	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
37	823108	111792	11448	0.8	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
38	823108	111792	11448	2.8	11.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
39	823108	111792	11448	1	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
40	823108	111792	11448	8.3	11.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
41	823108	111792	11448	1	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
42	823108	111792	11448	3	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
43	823108	111792	11448	1	11.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
44	823108	111792	11448	3	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.4	1.4
45	823108	111792	11448	1.2	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
46	823108	111792	11448	3	11.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.8	1.4
47	823108	111792	11448	1.2	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
48	823108	111792	11448	2.6	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
49	823108	111792	11448	1	11.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
50	823108	111792	11448	8.3	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
51	823108	111792	11448	1.2	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
52	823108	111792	11448	3	11.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
53	823108	111792	11448	1	11.8	941728	24340	14908	1.6	2.6	16824	13092	6288	1.8	1.4
54	823108	111792	11448	3.2	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
55	823108	111792	11448	1	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
56	823108	111792	11448	3	11.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.8	1.4
57	823108	111792	11448	1	11.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.4	1.4
58	823108	111792	11448	3	11.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
59	823108	62440	11448	1.6	6.6	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
60	823108	62704	11448	3	6.6	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
61	823108	62968	11448	7.1	6.7	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
62	823108	63228	11452	3	6.7	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
63	823108	63228	11452	1.2	6.7	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
64	823108	63228	11452	2.6	6.7	941728	24340	14908	0.4	2.6	16824	13092	6288	1.2	1.4
65	823108	63228	11452	1	6.7	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
66	823108	63228	11452	2	6.7	941728	24340	14908	0.2	2.6	16824	13092	6288	1.4	1.4
67	823108	63228	11452	1.8	6.7	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
68	823108	64020	11452	3	6.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
69	823108	64020	11452	1	6.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
70	823108	64020	11452	2.8	6.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
71	823108	64020	11452	1	6.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
72	823108	64020	11452	9.7	6.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.4	1.4
73	823108	64020	11452	0.8	6.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
74	823108	64020	11452	3.2	6.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
75	823108	64020	11452	1.8	6.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.4	1.4
76	823108	64020	11452	2.8	6.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
77	823108	64020	11452	1	6.8	941728	24340	14908	1.6	2.6	16824	13092	6288	1.8	1.4
78	823108	64020	11452	3	6.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
79	823108	64020	11452	1	6.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
80	823108	64020	11452	2.8	6.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
81	823108	64020	11452	1.2	6.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
82	823108	64544	11452	3	6.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.8	1.4
83	823108	64544	11452	9.1	6.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.4	1.4
84	823108	64544	11452	3	6.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
85	823108	64544	11452	1	6.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
86	823108	64544	11452	3	6.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
87	823108	64544	11452	1	6.8	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
88	823108	64544	11452	2.8	6.8	941728	24340	14908	0.2	2.6	16824	13092	6288	1.4	1.4
89	823108	58504	11452	1.2	6.2	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
90	823108	58504	11452	2.6	6.2	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
91	823108	58504	11452	1	6.2	941728	24340	14908	0.2	2.6	16824	13092	6288	1.4	1.4
92	823108	58504	11452	3	6.2	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
93	823108	58504	11452	1	6.2	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
94	823108	58504	11452	3	6.2	941728	24340	14908	0.2	2.6	16824	13092	6288	1.4	1.4
95	823108	58504	11452	7.9	6.2	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
96	823108	58504	11452	3	6.2	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
97	823108	58504	11452	1	6.2	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
98	823108	58504	11452	3.2	6.2	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
99	823108	58504	11452	1	6.2	941728	24340	14908	0.2	2.6	16824	13092	6288	1.4	1.4
100	823108	58504	11452	3	6.2	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
101	823108	58504	11452	0.8	6.2	941728	24340	14908	1.6	2.6	16824	13092	6288	1.6	1.4
102	823108	58504	11452	3	6.2	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
103	823108	58504	11452	1.2	6.2	941728	24340	14908	0.4	2.6	16824	13092	6288	1.8	1.4
104	823108	58504	11452	9.1	6.2	941728	24340	14908	0.2	2.6	16824	13092	6288	1.4	1.4
105	823108	58504	11452	1	6.2	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
106	823108	58504	11452	2.8	6.2	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
107	823108	58504	11452	1	6.2	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
108	823108	58504	11452	2	6.2	941728	24340	14908	0.4	2.6	16824	13092	6288	1.4	1.4
109	823108	58504	11452	0.8	6.2	941728	24340	14908	0.2	2.6	16824	13092	6288	1.4	1.4
110	823108	58504	11452	3.2	6.2	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
111	823108	58504	11452	1	6.2	941728	24340	14908	0.4	2.6	16824	13092	6288	1.8	1.4
112	823108	58504	11452	2.8	6.2	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
113	823108	58504	11452	1	6.2	941728	24340	14908	0.4	2.6	16824	13092	6288	1.8	1.4
114	823108	59032	11452	3.2	6.2	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
115	823108	59296	11452	1.2	6.3	941728	24340	14908	0.2	2.6	16824	13092	6288	2	1.4
116	823108	59824	11452	3	6.3	941728	24340	14908	0.4	2.6	16824	13092	6288	1.4	1.4
117	823108	59824	11452	1	6.3	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
118	823108	60880	11452	9.7	6.4	941728	24340	14908	0.4	2.6	16824	13092	6288	1.8	1.4
119	823108	60616	11452	1	6.4	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
120	823108	60616	11452	3	6.4	941728	24340	14908	0.2	2.6	16824	13092	6288	1.6	1.4
121	823108	60616	11452	1	6.4	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
122	823108	60616	11452	3	6.4	941728	24340	14908	0.4	2.6	16824	13092	6288	1.4	1.4
123	823108	60616	11452	1	6.4	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
124	823108	60880	11452	3.2	6.4	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
125	823108	60880	11452	1	6.4	941728	24340	14908	1.4	2.6	16824	13092	6288	1.8	1.4
126	823108	60880	11452	3	6.4	941728	24340	14908	0.4	2.6	16824	13092	6288	1.8	1.4
127	823108	60880	11452	1.2	6.4	941728	24340	14908	0.2	2.6	16824	13092	6288	1.8	1.4
128	823108	60880	11452	3	6.4	941728	24340	14908	0.4	2.6	16824	13092	6288	1.6	1.4
129	823108	60880	11452	0.8	6.4	941728	24276	14908	0.2	2.6	16824	13092	6288	1.6	1.4
130	823108	60880	11452	3	6.4	941728	24276	14908	0.4	2.6	16824	13092	6288	1.4	1.4
131	823108	60880	11452	1	6.4	941728	24276	14908	0.2	2.6	16824	13092	6288	1.6	1.4
132	823108	61408	11452	9.1	6.5	941728	24276	14908	2.8	2.6	16824	13092	6288	1.6	1.4
133	823108	61408	11452	1	6.5	941728	24276	14908	0.2	2.6	16824	13092	6288	1.8	1.4
134	823108	61408	11452	3	6.5	941728	24276	14908	0.2	2.6	16824	13092	6288	1.6	1.4
135	823108	61408	11452	1	6.5	941728	24276	14908	0.2	2.6	16824	13092	6288	1.6	1.4
136	823108	61408	11452	2.8	6.5	941728	24276	14908	0.4	2.6	16824	13092	6288	1.6	1.4
137	823108	61408	11452	1.2	6.5	941728	24276	14908	0.4	2.6	16824	13092	6288	1.8	1.4
138	823108	61408	11452	3.2	6.5	941728	24276	14908	0.2	2.6	16824	13092	6288	1.8	1.4
139	823108	61408	11452	0.8	6.5	941728	24276	14908	0.2	2.6	16824	13092	6288	1.4	1.4
140	823108	61408	11452	3.8	6.5	941728	24276	14908	0.2	2.6	16824	13092	6288	1.6	1.4
141	823108	61408	11452	1	6.5	941728	24276	14908	0.2	2.6	16824	13092	6288	1.8	1.4
142	823108	61408	11452	2.8	6.5	941728	24276	14908	0.4	2.6	16824	13092	6288	1.8	1.4
143	823108	61408	11452	0.8	6.5	941728	24276	14908	0.2	2.6	16824	13092	6288	1.8	1.4
144	823108	61408	11452	8.1	6.5	941728	24276	14908	0.4	2.6	16824	13092	6288	1.8	1.4
145	823108	61408	11452	0.8	6.5	941728	24276	14908	0.2	2.6	16824	13092	6288	1.4	1.4
146	823108	61408	11452	3.2	6.5	941728	24276	14908	0.2	2.6	16824	13092	6288	1.4	1.4
147	823108	61408	11452	1	6.5	941728	24276	14908	0.4	2.6	16824	13092	6288	1.8	1.4
148	823108	61408	11452	3	6.5	941728	24276	14908	1.6	2.6	16824	13092	6288	1.8	1.4
149	823108	58936	11452	1.2	6.2	941728	24276	14908	0.2	2.6	16824	13092	6288	1.8	1.4
150	823108	58936	11452	3	6.2	941728	24276	14908	0.4	2.6	16824	13092	6288	1.8	1.4
151	823108	58936	11452	1	6.2	941728	24276	14908	0.2	2.6	16824	13092	6288	1.8	1.4
152	823108	58936	11452	3.2	6.2	941728	24276	14908	0.2	2.6	16824	13092	6288	1.4	1.4
153	823108	58936	11452	1	6.2	941728	24276	14908	0.4	2.6	16824	13092	6288	1.6	1.4
154	823108	58936	11452	3	6.2	941728	24276	14908	0.2	2.6	16824	13092	6288	1.6	1.4
155	823108	58936	11452	1	6.2	941728	24276	14908	0.2	2.6	16824	13092	6288	1.4	1.4
156	823108	58936	11452	3	6.2	941728	24276	14908	0.4	2.6	16824	13092	6288	1.8	1.4
157	823108	59200	11452	8.7	6.3	941728	24276	14908	0.2	2.6	16824	13092	6288	1.6	1.4
158	823108	59200	11452	3	6.3	941728	24276	14908	0.2	2.6	16824	13092	6288	1.8	1.4
159	823108	59200	11452	2.6	6.3	941728	24276	14908	0.4	2.6	16824	13092	6288	1.8	1.4
160	823108	59200	11452	1	6.3	941728	24276	14908	0.2	2.6	16824	13092	6288	1.6	1.4
161	823108	59200	11452	3.2	6.3	941728	24276	14908	0.2	2.6	16824	13092	6288	1.6	1.4
162	823108	59200	11452	1	6.3	941728	24276	14908	0.4	2.6	16824	13092	6288	1.8	1.4
163	823108	59200	11452	3	6.3	941728	24276	14908	0.2	2.6	16824	13092	6288	1.4	1.4
164	823108	59200	11452	0.8	6.3	941728	24276	14908	0.2	2.6	16824	13092	6288	1.4	1.4
165	823108	59200	11452	3	6.3	941728	24276	14908	0.4	2.6	16824	13092	6288	1.8	1.4
166	823108	59200	11452	1	6.3	941728	24276	14908	0.2	2.6	16824	13092	6288	1.6	1.4
167	823108	59200	11452	2.8	6.3	941728	24276	14908	0.2	2.6	16824	13092	6288	1.4	1.4
168	823108	59200	11452	1	6.3	941728	24276	14908	0.2	2.6	16824	13092	6288	1.8	1.4
169	823108	59200	11452	3	6.3	941728	24276	14908	0.4	2.6	16824	13092	6288	1.4	1.4
170	823108	59200	11452	1	6.3	941728	24276	14908	0.2	2.6	16824	13092	6288	1.4	1.4
171	823108	60256	11452	9.1	6.4	941728	24276	14908	0.4	2.6	16824	13092	6288	1.8	1.4
172	823108	60256	11452	1	6.4	941728	24276	14908	1.4	2.6	16824	13092	6288	1.8	1.4
173	823108	60256	11452	3	6.4	941728	24276	14908	0.4	2.6	16824	13092	6288	1.8	1.4
174	823108	60256	11452	1	6.4	941728	24276	14908	0.2	2.6	16824	13092	6288	1.8	1.4
175	823108	60256	11452	3	6.4	941728	24276	14908	0.2	2.6	16824	13092	6288	1.6	1.4
176	823108	60256	11452	1	6.4	941728	24276	14908	0.4	2.6	16824	13092	6288	1.8	1.4
177	823108	60256	11452	3.2	6.4	941728	24276	14908	0.2	2.6	16824	13092	6288	1.6	1.4
178	823108	60144	11452	0.8	6.4	941728	24276	14908	0.2	2.6	16824	13092	6288	1.4	1.4
179	823108	60144	11452	3	6.4	941728	24276	14908	0.4	2.6	16824	13092	6288	1.6	1.4
