Time Since Start (5s)	InfluxDB					Grafana					Python				
	VIRT	RES	SHR	%CPU	%MEM	VIRT	RES	SHR	%CPU	%MEM	VIRT	RES	SHR	%CPU	%MEM
59	818648	111744	11560	1	11.8	917152	25628	14948	0.4	2.7	16812	13352	6488	1.4	1.4
60	818648	58720	11560	3.4	6.2	917152	25628	14948	0.2	2.7	16812	13352	6488	1.4	1.4
61	818648	58720	11560	1	6.2	917152	25628	14948	0.4	2.7	16812	13352	6488	1.6	1.4
62	818648	58720	11560	7.7	6.2	917152	25628	14948	0.2	2.7	16812	13352	6488	1.6	1.4
63	818648	58720	11560	1	6.2	917152	25628	14948	0.2	2.7	16812	13352	6488	1.6	1.4
64	818648	58720	11560	3	6.2	917152	25628	14948	0.4	2.7	16812	13352	6488	1.4	1.4
65	818648	58720	11560	1	6.2	917152	25628	14948	0.2	2.7	16812	13352	6488	1.4	1.4
66	818648	58720	11560	2.8	6.2	917152	25628	14948	0.2	2.7	16812	13352	6488	1.6	1.4
67	818648	58720	11560	1	6.2	917152	25628	14948	0.4	2.7	16812	13352	6488	1.6	1.4
68	818648	58720	11560	2.8	6.2	917152	25628	14948	0.2	2.7	16812	13352	6488	1	1.4
69	818648	58720	11560	1	6.2	917152	25628	14948	0.4	2.7	16812	13352	6488	1.6	1.4
70	818648	58720	11560	3	6.2	917152	25628	14948	0.2	2.7	16812	13352	6488	1.4	1.4
71	818648	58720	11560	0.8	6.2	917152	25628	14948	0.4	2.7	16812	13352	6488	1.4	1.4
72	818648	58984	11560	9.1	6.2	917152	25628	14948	0.2	2.7	16812	13352	6488	1.6	1.4
73	818648	58984	11560	1	6.2	917152	25628	14948	0.4	2.7	16812	13352	6488	1.4	1.4
74	818648	58984	11560	3.4	6.2	917152	25628	14948	0.2	2.7	16812	13352	6488	1.6	1.4
75	818648	58984	11560	1	6.2	917152	25628	14948	2	2.7	16812	13352	6488	1.6	1.4
76	818648	58984	11560	3.4	6.2	917152	25628	14948	0.2	2.7	16812	13352	6488	1.6	1.4
77	818648	59248	11560	1	6.3	917152	25628	14948	0.4	2.7	16812	13352	6488	1.4	1.4
78	818648	59248	11560	3	6.3	917152	25628	14948	0.4	2.7	16812	13352	6488	1.4	1.4
79	818648	59248	11560	0.8	6.3	917152	25628	14948	0.2	2.7	16812	13352	6488	1.4	1.4
80	818648	59248	11560	3.2	6.3	917152	25628	14948	0.4	2.7	16812	13352	6488	1.4	1.4
81	818648	59248	11560	1	6.3	917152	25628	14948	0.2	2.7	16812	13352	6488	1.6	1.4
82	818648	59512	11560	10.1	6.3	917152	25628	14948	0.2	2.7	16812	13352	6488	1.4	1.4
83	818648	59512	11560	0.8	6.3	917152	25628	14948	0.4	2.7	16812	13352	6488	1.6	1.4
84	818648	59512	11560	3	6.3	917152	25628	14948	0.2	2.7	16812	13352	6488	1.4	1.4
85	818648	59512	11560	1	6.3	917152	25628	14948	0.4	2.7	16812	13352	6488	1.6	1.4
86	818648	59512	11560	3.2	6.3	917152	25628	14948	0.2	2.7	16812	13352	6488	1.6	1.4
87	818648	59512	11560	2.2	6.3	917152	25628	14948	0.4	2.7	16812	13352	6488	1.6	1.4
88	818648	59512	11560	1.4	6.3	917152	25628	14948	0.2	2.7	16812	13352	6488	1.2	1.4
89	818648	59000	11560	3	6.2	917152	25628	14948	0.2	2.7	16812	13352	6488	1.6	1.4
90	818648	59000	11560	1	6.2	917152	25628	14948	0.4	2.7	16812	13352	6488	1.4	1.4
91	818648	59000	11560	2.6	6.2	917152	25628	14948	0.2	2.7	16812	13352	6488	1.6	1.4
92	818648	59000	11560	9	6.2	917152	25628	14948	0.2	2.7	16812	13352	6488	1.6	1.4
