Time Since Start (5s)	InfluxDB					Grafana					Python				
	VIRT	RES	SHR	%CPU	%MEM	VIRT	RES	SHR	%CPU	%MEM	VIRT	RES	SHR	%CPU	%MEM
0	829204	99568	11904	11.3	10.5	941728	24456	14908	0	2.6	16856	13216	6360	17	1.4
1	829204	100624	11904	3.2	10.6	941728	24456	14908	0.2	2.6	16856	13216	6360	2	1.4
2	829204	101416	11904	1.6	10.7	941728	24456	14908	0.4	2.6	16856	13216	6360	3	1.4
3	829204	102208	11904	42.3	10.8	941728	24456	14908	0.2	2.6	16856	13216	6360	3	1.4
4	829204	102208	11904	1.6	10.8	941728	24456	14908	0.4	2.6	16856	13216	6360	3	1.4
5	829204	102208	11904	3	10.8	941728	24456	14908	0.2	2.6	16856	13216	6360	2.4	1.4
6	829204	102208	11904	1.6	10.8	941728	24456	14908	0.2	2.6	16856	13216	6360	2.6	1.4
7	829204	102208	11904	3.8	10.8	941728	24456	14908	0.2	2.6	16856	13216	6360	3	1.4
8	829204	102208	11904	1.6	10.8	941728	24456	14908	1.6	2.6	16856	13216	6360	3	1.4
9	829204	102208	11904	3.4	10.8	941728	24456	14908	0.2	2.6	16856	13216	6360	2.8	1.4
10	829204	102472	11904	1	10.8	941728	24456	14908	0.4	2.6	16856	13216	6360	2	1.4
11	829204	102472	11904	3.4	10.8	941728	24456	14908	0.2	2.6	16856	13216	6360	2.4	1.4
12	829204	102472	11904	1.6	10.8	941728	24456	14908	0.2	2.6	16856	13216	6360	3	1.4
13	829204	102736	11904	3.2	10.9	941728	24456	14908	0.4	2.6	16856	13216	6360	2.6	1.4
14	829204	102736	11904	1.4	10.9	941728	24456	14908	0.2	2.6	16856	13216	6360	2.4	1.4
15	829204	102736	11904	3.4	10.9	941728	24456	14908	0.4	2.6	16856	13216	6360	2.8	1.4
16	829204	103528	11904	1.6	10.9	941728	24456	14908	0.2	2.6	16856	13216	6360	2.8	1.4
17	829204	104584	11904	3.2	11.1	941728	24456	14908	0.2	2.6	16856	13216	6360	2.4	1.4
18	829204	104848	11904	1.6	11.1	941728	24456	14908	0.4	2.6	16856	13216	6360	2.8	1.4
19	829204	105640	11904	3.4	11.2	941728	24456	14908	0.4	2.6	16856	13216	6360	2.8	1.4
