1413741615 utime AM_vel(rpm) AM_supV(dV) AM_supI(dA)
1413741615 mins   0          -37624       0   
1413741615 maxs   37624       37624      37624    
1413741615 attr   N             N         N     
1413741616 2125 -5904 -18705 -6784
1413741616 2379 -5904 -18705 -6784
1413741616 2634 -5904 -18705 -6784
1413741616 2885 -5904 -18705 -6784
1413741617 3141 -5904 -18705 -6784
1413741617 3396 -5904 -18705 -6784
1413741617 3648 -5904 -18705 -6784
1413741617 3900 -5904 -18705 -6784
1413741618 4154 -5904 -18705 -6784
1413741618 4405 -5904 -18705 -6784
1413741618 4656 -5904 -18705 -6784
1413741618 4912 -5904 -18705 -6784
1413741619 5168 -5904 -18705 -6784
1413741619 5423 -5904 -18705 -6784
1413741619 5678 -5904 -18705 -6784
1413741619 5930 -5904 -18705 -6784
1413741620 6185 -5904 -18705 -6784
1413741620 6437 -5904 -18705 -6784
1413741620 6691 -5904 -18705 -6784
1413741620 6944 -5904 -18705 -6784
1413741621 7196 -5904 -18705 -6784
1413741621 7447 -5904 -18705 -6784
1413741621 7703 -5904 -18705 -6784
1413741621 7959 -5904 -18705 -6784
1413741622 8212 -5904 -18705 -6784
1413741622 8466 -5904 -18705 -6784
1413741622 8721 -5904 -18705 -6784
1413741622 8975 -5904 -18705 -6784
1413741623 9228 -5904 -18705 -6784
1413741623 9480 -5904 -18705 -6784
1413741623 9731 -5904 -18705 -6784
1413741623 9984 -5904 -18705 -6784
1413741624 10238 -5904 -18705 -6784
1413741624 10493 -5904 -18705 -6784
1413741624 10745 -5904 -18705 -6784
1413741624 10998 -5904 -18705 -6784
1413741625 11250 -5904 -18705 -6784
1413741625 11509 -5904 -18705 -6784
1413741625 11763 -5904 -18705 -6784
1413741626 12021 -5904 -18705 -6784
1413741626 12275 -5904 -18705 -6784
1413741626 12529 -5904 -18705 -6784
1413741626 12783 -5904 -18705 -6784
1413741627 13038 -5904 -18705 -6784
1413741627 13293 -5904 -18705 -6784
1413741627 13549 -5904 -18705 -6784
1413741627 13802 -5904 -18705 -6784
1413741628 14057 -5904 -18705 -6784
1413741628 14308 -5904 -18705 -6784
1413741628 14559 -5904 -18705 -6784
1413741628 14811 -5904 -18705 -6784
1413741629 15065 -5904 -18705 -6784
1413741629 15322 -5904 -18705 -6784
1413741629 15578 -5904 -18705 -6784
1413741629 15832 -5904 -18705 -6784
1413741630 16086 -5904 -18705 -6784
1413741630 16340 -5904 -18705 -6784
1413741630 16594 -5904 -18705 -6784
1413741630 16845 -5904 -18705 -6784
1413741631 17100 -5904 -18705 -6784
1413741631 17351 -5904 -18705 -6784
1413741631 17609 -5904 -18705 -6784
1413741631 17864 -5904 -18705 -6784
1413741632 18122 -5904 -18705 -6784
1413741632 18377 -5904 -18705 -6784
1413741632 18632 -5904 -18705 -6784
1413741632 18884 -5904 -18705 -6784
1413741633 19137 -5904 -18705 -6784
1413741633 19394 -5904 -18705 -6784
1413741633 19647 -5904 -18705 -6784
1413741633 19898 -5904 -18705 -6784
1413741634 20150 -5904 -18705 -6784
1413741634 20412 -5904 -18705 -6784
1413741634 20664 -5904 -18705 -6784
