1413741615 utime AM_vel(rpm) AM_supV(dV) AM_supI(dA) AM_bpT(dC)  AM_amT(dC) AM_motT(dC) AM_SOC AM_thr AM_rgn
1413741615 mins   0      0    -37624        0     0      0       0       0       0  
1413741615 maxs   0     37624  37624     37624 37624  37624    37624  37624  37624 
1413741615 attr   N        N      N        N      N     N       N       N       N  
1413741688 74408 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741689 75417 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741690 76426 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741691 77432 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741692 78438 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741693 79445 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741694 80446 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741695 81449 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741696 82456 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741697 83464 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741698 84467 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741699 85473 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741700 86477 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741701 87481 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741702 88483 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741703 89485 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741704 90489 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741705 91490 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741706 92493 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741707 93496 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741708 94498 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741709 95500 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741710 96502 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741711 97509 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741712 98513 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741713 99517 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741714 100522 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741715 101523 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741716 102529 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741717 103532 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741718 104537 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741719 105542 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741720 106543 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741721 107546 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741722 108547 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741723 109551 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741724 110556 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741725 111559 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741726 112566 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741727 113574 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741728 114578 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741729 115584 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741730 116587 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741731 117594 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741732 118600 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741733 119607 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741734 120615 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741735 121626 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741736 122627 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741737 123628 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741738 124630 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741739 125636 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741740 126642 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741741 127649 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741742 128652 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741743 129654 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741744 130658 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741745 131666 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741746 132676 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741747 133679 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741748 134683 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741749 135684 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741750 136692 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741751 137697 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741752 138703 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741753 139707 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741754 140712 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741755 141716 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741756 142722 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741757 143730 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741758 144732 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741759 145733 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741760 146736 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741761 147737 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741762 148744 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741763 149753 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741764 150754 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741765 151757 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741766 152762 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741767 153769 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741768 154773 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741769 155780 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741770 156785 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741771 157786 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741772 158792 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741773 159798 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741774 160805 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741775 161810 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
