1413741615 utime cmd  I(cA)    SOC   stat  on mea bal  tr  yr  mo  dy  hr  mn sc   ti
1413741695 81449 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741696 82456 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741697 83464 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741698 84467 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741699 85473 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741700 86477 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741701 87481 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741702 88483 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741703 89485 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741704 90489 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741705 91490 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741706 92493 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741707 93496 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741708 94498 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741709 95500 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741710 96502 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741711 97509 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741712 98513 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741713 99517 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741714 100522 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741715 101523 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741716 102529 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741717 103532 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741718 104537 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741719 105542 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741720 106543 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741721 107546 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741722 108547 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741723 109551 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741724 110556 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
