1413747310 utime UTC_GPS Lat Long Alt Track  GS FIX MagV Date
1413747310 mins    0      0    0    0   0     0  0   0    0 
1413747310 maxs    0      0    0    0   0     0  0   0    0 
1413747310 attr    N      S    S    N   N     N  N   U    N 
1413747310 2782 0        
1413747311 3785 1413747310 3023.3735N 09743.5327W 256.0M 328.40 0.22K 193510.000A1 NAA 191014
1413747312 4790 1413747311 3023.3735N 09743.5327W 256.0M 328.40 0.50K 193511.000A1 NAA 191014
1413747313 5792 1413747312 3023.3735N 09743.5328W 256.0M 328.40 0.73K 193512.000A1 NAA 191014
1413747314 6797 1413747313 3023.3735N 09743.5330W 256.0M 328.40 0.74K 193513.000A1 NAA 191014
1413747315 7798 1413747314 3023.3735N 09743.5331W 256.0M 328.40 0.86K 193514.000A1 NAA 191014
1413747316 8801 1413747315 3023.3735N 09743.5332W 256.0M 328.40 0.66K 193515.000A1 NAA 191014
1413747317 9807 1413747316 3023.3735N 09743.5333W 256.0M 328.40 0.76K 193516.000A1 NAA 191014
1413747318 10811 1413747317 3023.3734N 09743.5335W 256.0M 328.40 0.70K 193517.000A1 NAA 191014
1413747319 11813 1413747318 3023.3734N 09743.5336W 256.0M 328.40 0.76K 193518.000A1 NAA 191014
1413747320 12818 1413747319 3023.3734N 09743.5337W 256.0M 328.40 0.55K 193519.000A1 NAA 191014
1413747321 13819 1413747320 3023.3734N 09743.5338W 256.0M 328.40 1.03K 193520.000A1 NAA 191014
1413747322 14824 1413747321 3023.3734N 09743.5340W 256.1M 328.40 0.98K 193521.000A1 NAA 191014
1413747323 15827 1413747322 3023.3734N 09743.5342W 256.1M 328.40 0.80K 193522.000A1 NAA 191014
1413747324 16832 1413747323 3023.3735N 09743.5343W 256.1M 328.40 0.58K 193523.000A1 NAA 191014
1413747325 17835 1413747324 3023.3735N 09743.5344W 256.1M 328.40 0.49K 193524.000A1 NAA 191014
1413747326 18839 1413747325 3023.3736N 09743.5344W 256.1M 328.40 0.39K 193525.000A1 NAA 191014
1413747327 19844 1413747326 3023.3736N 09743.5345W 256.1M 328.40 0.44K 193526.000A1 NAA 191014
1413747328 20847 1413747327 3023.3737N 09743.5345W 256.1M 328.40 0.54K 193527.000A1 NAA 191014
1413747329 21850 1413747328 3023.3738N 09743.5346W 256.2M 328.40 0.63K 193528.000A1 NAA 191014
1413747330 22853 1413747329 3023.3738N 09743.5346W 256.2M 328.40 0.76K 193529.000A1 NAA 191014
1413747331 23857 1413747330 3023.3739N 09743.5348W 256.2M 328.40 0.80K 193530.000A1 NAA 191014
1413747332 24862 1413747332 3023.3740N 09743.5350W 256.2M 328.40 0.68K 193532.000A1 NAA 191014
1413747333 25866 1413747333 3023.3741N 09743.5351W 256.2M 328.40 0.65K 193533.000A1 NAA 191014
1413747334 26872 1413747334 3023.3741N 09743.5352W 256.2M 328.40 0.39K 193534.000A1 NAA 191014
1413747335 27877 1413747335 3023.3741N 09743.5352W 256.2M 328.40 0.45K 193535.000A1 NAA 191014
1413747336 28882 1413747336 3023.3741N 09743.5353W 256.2M 328.40 0.43K 193536.000A1 NAA 191014
1413747337 29887 1413747337 3023.3741N 09743.5354W 256.2M 328.40 0.07K 193537.000A1 NAA 191014
1413747338 30891 1413747338 3023.3741N 09743.5354W 256.2M 328.40 0.14K 193538.000A1 NAA 191014
1413747339 31936 1413747338 3023.3741N 09743.5354W 256.2M 328.40 0.14K 193538.000A1 NAA 191014
1413747340 32938 1413747340 3023.3741N 09743.5355W 256.2M 328.40 0.48K 193540.000A1 NAA 191014
1413747341 33946 1413747341 3023.3741N 09743.5356W 256.2M 328.40 0.44K 193541.000A1 NAA 191014
1413747342 34952 1413747342 3023.3741N 09743.5356W 256.2M 328.40 0.30K 193542.000A1 NAA 191014
1413747343 35963 1413747343 3023.3741N 09743.5357W 256.2M 328.40 0.14K 193543.000A1 NAA 191014
1413747345 37387 1413747343 3023.3741N 09743.5357W 256.2M 328.40 0.14K 193543.000A1 NAA 191014
1413747346 38393 1413747345 3023.3742N 09743.5357W 256.2M 328.40 0.40K 193545.000A1 NAA 191014
1413747347 39396 1413747346 3023.3742N 09743.5358W 256.2M 328.40 0.55K 193546.000A1 NAA 191014
1413747348 40399 1413747347 3023.3742N 09743.5359W 256.2M 328.40 0.43K 193547.000A1 NAA 191014
1413747349 41406 1413747348 3023.3743N 09743.5359W 256.2M 328.40 0.20K 193548.000A1 NAA 191014
1413747350 42410 1413747349 3023.3743N 09743.5360W 256.2M 328.40 0.20K 193549.000A1 NAA 191014
1413747351 43414 1413747350 3023.3743N 09743.5360W 256.2M 328.40 0.09K 193550.000A1 NAA 191014
1413747352 44417 1413747351 3023.3742N 09743.5360W 256.2M 328.40 0.20K 193551.000A1 NAA 191014
1413747353 45420 1413747352 3023.3742N 09743.5360W 256.2M 328.40 0.39K 193552.000A1 NAA 191014
1413747354 46427 1413747353 3023.3742N 09743.5361W 256.2M 328.40 0.27K 193553.000A1 NAA 191014
1413747355 47428 1413747354 3023.3742N 09743.5361W 256.2M 328.40 0.32K 193554.000A1 NAA 191014
1413747356 48431 1413747355 3023.3742N 09743.5362W 256.2M 328.40 0.46K 193555.000A1 NAA 191014
1413747357 49438 1413747356 3023.3742N 09743.5363W 256.2M 328.40 0.46K 193556.000A1 NAA 191014
1413747358 50449 1413747357 3023.3742N 09743.5364W 256.2M 328.40 0.17K 193557.000A1 NAA 191014
1413747359 51457 1413747358 3023.3741N 09743.5364W 256.2M 328.40 0.26K 193558.000A1 NAA 191014
1413747360 52460 1413747359 3023.3741N 09743.5364W 256.2M 328.40 0.28K 193559.000A1 NAA 191014
1413747361 53462 1413747360 3023.3741N 09743.5365W 256.2M 328.40 0.45K 193600.000A1 NAA 191014
1413747362 54467 1413747361 3023.3740N 09743.5365W 256.2M 328.40 0.61K 193601.000A1 NAA 191014
1413747363 55473 1413747362 3023.3739N 09743.5365W 256.2M 328.40 0.80K 193602.000A1 NAA 191014
1413747364 56475 1413747362 3023.3739N 09743.5365W 256.2M 328.40 0.80K 193602.000A1 NAA 191014
1413747365 57482 1413747363 3023.3738N 09743.5365W 256.2M 328.40 0.97K 193603.000A1 NAA 191014
1413747366 58486 1413747364 3023.3737N 09743.5365W 256.2M 328.40 0.43K 193604.000A1 NAA 191014
1413747367 59492 1413747365 3023.3736N 09743.5365W 256.2M 328.40 0.28K 193605.000A1 NAA 191014
1413747368 60497 1413747366 3023.3736N 09743.5366W 256.2M 328.40 0.31K 193606.000A1 NAA 191014
1413747369 61507 1413747367 3023.3735N 09743.5366W 256.1M 328.40 0.37K 193607.000A1 NAA 191014
1413747370 62508 1413747369 3023.3734N 09743.5367W 256.1M 328.40 0.26K 193609.000A1 NAA 191014
1413747371 63518 1413747369 3023.3734N 09743.5367W 256.1M 328.40 0.15K 193609.000A1 NAA 191014
1413747372 64522 1413747371 3023.3734N 09743.5367W 256.1M 328.40 0.18K 193611.000A1 NAA 191014
1413747373 65529 1413747372 3023.3734N 09743.5367W 256.1M 328.40 0.09K 193612.000A1 NAA 191014
