1413747310 utime UTC_GPS Lat Long Alt Track  GS FIX MagV Date
1413747374 66534 1413747373 3023.3735N 09743.5367W 256.1M 328.40 0.27K 193613.000A1 NAA 191014
1413747375 67541 1413747374 3023.3735N 09743.5367W 256.1M 328.40 0.30K 193614.000A1 NAA 191014
1413747376 68549 1413747375 3023.3734N 09743.5366W 256.1M 328.40 0.16K 193615.000A1 NAA 191014
1413747377 69553 1413747376 3023.3734N 09743.5366W 256.1M 328.40 0.21K 193616.000A1 NAA 191014
1413747378 70559 1413747377 3023.3734N 09743.5366W 256.1M 328.40 0.06K 193617.000A1 NAA 191014
1413747379 71563 1413747378 3023.3734N 09743.5366W 256.1M 328.40 0.15K 193618.000A1 NAA 191014
1413747380 72570 1413747379 3023.3734N 09743.5366W 256.1M 328.40 0.17K 193619.000A1 NAA 191014
1413747381 73577 1413747380 3023.3734N 09743.5367W 256.1M 328.40 0.23K 193620.000A1 NAA 191014
1413747382 74579 1413747381 3023.3734N 09743.5366W 256.1M 328.40 0.24K 193621.000A1 NAA 191014
1413747383 75582 1413747382 3023.3734N 09743.5366W 256.1M 328.40 0.10K 193622.000A1 NAA 191014
1413747384 76586 1413747383 3023.3734N 09743.5366W 256.1M 328.40 0.14K 193623.000A1 NAA 191014
1413747385 77588 1413747384 3023.3733N 09743.5366W 256.1M 328.40 0.23K 193624.000A1 NAA 191014
1413747386 78591 1413747385 3023.3733N 09743.5365W 256.1M 328.40 0.24K 193625.000A1 NAA 191014
1413747387 79592 1413747386 3023.3733N 09743.5365W 256.1M 328.40 0.09K 193626.000A1 NAA 191014
1413747388 80595 1413747387 3023.3733N 09743.5365W 256.1M 328.40 0.13K 193627.000A1 NAA 191014
1413747389 81597 1413747388 3023.3733N 09743.5365W 256.1M 328.40 0.22K 193628.000A1 NAA 191014
1413747390 82599 1413747389 3023.3733N 09743.5366W 256.0M 328.40 0.11K 193629.000A1 NAA 191014
1413747391 83605 1413747390 3023.3734N 09743.5366W 256.0M 328.40 0.10K 193630.000A1 NAA 191014
1413747392 84612 1413747391 3023.3734N 09743.5366W 256.0M 328.40 0.23K 193631.000A1 NAA 191014
1413747393 85620 1413747392 3023.3733N 09743.5366W 256.0M 328.40 0.08K 193632.000A1 NAA 191014
1413747394 86625 1413747393 3023.3733N 09743.5365W 256.0M 328.40 0.15K 193633.000A1 NAA 191014
1413747395 87629 1413747394 3023.3733N 09743.5365W 256.0M 328.40 0.05K 193634.000A1 NAA 191014
1413747396 88636 1413747395 3023.3733N 09743.5365W 256.1M 328.40 0.46K 193635.000A1 NAA 191014
1413747397 89637 1413747396 3023.3734N 09743.5365W 256.1M 328.40 0.54K 193636.000A1 NAA 191014
1413747398 90643 1413747397 3023.3734N 09743.5364W 256.1M 328.40 0.58K 193637.000A1 NAA 191014
1413747399 91655 1413747398 3023.3735N 09743.5364W 256.0M 328.40 0.50K 193638.000A1 NAA 191014
1413747400 92657 1413747399 3023.3736N 09743.5363W 256.0M 328.40 0.45K 193639.000A1 NAA 191014
1413747401 93660 1413747400 3023.3737N 09743.5363W 256.0M 328.40 0.63K 193640.000A1 NAA 191014
1413747402 94670 1413747401 3023.3738N 09743.5363W 256.0M 328.40 0.70K 193641.000A1 NAA 191014
1413747403 95672 1413747402 3023.3739N 09743.5364W 256.0M 328.40 0.78K 193642.000A1 NAA 191014
1413747404 96679 1413747403 3023.3740N 09743.5364W 256.0M 328.40 0.71K 193643.000A1 NAA 191014
1413747405 97683 1413747404 3023.3741N 09743.5364W 256.0M 328.40 0.56K 193644.000A1 NAA 191014
1413747406 98688 1413747405 3023.3742N 09743.5364W 256.0M 328.40 0.17K 193645.000A1 NAA 191014
1413747407 99697 1413747406 3023.3742N 09743.5364W 256.0M 328.40 0.10K 193646.000A1 NAA 191014
1413747408 100702 1413747408 3023.3742N 09743.5364W 256.0M 328.40 0.07K 193648.000A1 NAA 191014
1413747409 101709 1413747409 3023.3743N 09743.5364W 256.0M 328.40 0.07K 193649.000A1 NAA 191014
1413747410 102721 1413747410 3023.3743N 09743.5364W 256.0M 328.40 0.31K 193650.000A1 NAA 191014
1413747411 103725 1413747410 3023.3743N 09743.5364W 256.0M 328.40 0.31K 193650.000A1 NAA 191014
1413747412 104729 1413747411 3023.3743N 09743.5364W 256.0M 328.40 0.17K 193651.000A1 NAA 191014
1413747413 105730 1413747412 3023.3744N 09743.5364W 256.0M 328.40 0.33K 193652.000A1 NAA 191014
1413747414 106731 1413747413 3023.3744N 09743.5363W 256.0M 328.40 0.49K 193653.000A1 NAA 191014
1413747415 107737 1413747413 3023.3744N 09743.5363W 256.0M 328.40 0.49K 193653.000A1 NAA 191014
1413747416 108741 1413747415 3023.3746N 09743.5364W 256.0M 328.40 0.80K 193655.000A1 NAA 191014
1413747417 109748 1413747416 3023.3747N 09743.5365W 256.0M 328.40 0.51K 193656.000A1 NAA 191014
1413747418 110751 1413747417 3023.3748N 09743.5365W 256.0M 328.40 0.42K 193657.000A1 NAA 191014
1413747419 111752 1413747418 3023.3749N 09743.5364W 256.0M 328.40 0.55K 193658.000A1 NAA 191014
1413747420 112754 1413747419 3023.3749N 09743.5364W 256.0M 328.40 0.62K 193659.000A1 NAA 191014
1413747421 113758 1413747420 3023.3750N 09743.5364W 256.0M 328.40 0.55K 193700.000A1 NAA 191014
1413747422 114765 1413747421 3023.3751N 09743.5363W 256.0M 328.40 0.68K 193701.000A1 NAA 191014
1413747423 115772 1413747422 3023.3752N 09743.5363W 256.0M 328.40 0.62K 193702.000A1 NAA 191014
1413747424 116779 1413747423 3023.3753N 09743.5362W 256.0M 328.40 0.49K 193703.000A1 NAA 191014
1413747425 117783 1413747424 3023.3753N 09743.5361W 256.0M 328.40 0.28K 193704.000A1 NAA 191014
1413747426 118788 1413747425 3023.3753N 09743.5361W 256.0M 328.40 0.12K 193705.000A1 NAA 191014
1413747427 119794 1413747426 3023.3754N 09743.5361W 256.0M 328.40 0.26K 193706.000A1 NAA 191014
1413747428 120797 1413747427 3023.3754N 09743.5361W 256.0M 328.40 0.23K 193707.000A1 NAA 191014
1413747429 121798 1413747428 3023.3754N 09743.5360W 255.9M 328.40 0.21K 193708.000A2 NAD 191014
1413747430 122806 1413747429 3023.3754N 09743.5361W 255.9M 328.40 0.19K 193709.000A2 NAD 191014
1413747431 123808 1413747430 3023.3755N 09743.5360W 255.9M 328.40 0.25K 193710.000A2 NAD 191014
1413747432 124809 1413747431 3023.3756N 09743.5361W 255.8M 328.40 0.54K 193711.000A2 NAD 191014
1413747433 125815 1413747432 3023.3756N 09743.5361W 255.8M 328.40 0.42K 193712.000A2 NAD 191014
1413747434 126822 1413747433 3023.3755N 09743.5361W 255.7M 328.40 0.35K 193713.000A2 NAD 191014
1413747435 127829 1413747434 3023.3754N 09743.5361W 255.6M 328.40 0.35K 193714.000A2 NAD 191014
1413747436 128833 1413747435 3023.3753N 09743.5359W 255.6M 328.40 0.41K 193715.000A2 NAD 191014
1413747437 129834 1413747436 3023.3752N 09743.5357W 255.4M 328.40 0.80K 193716.000A2 NAD 191014
1413747438 130840 1413747437 3023.3750N 09743.5354W 255.3M 101.93 1.09K 193717.000A2 NAD 191014
1413747439 131845 1413747438 3023.3750N 09743.5353W 255.2M 101.26 1.11K 193718.000A2 NAD 191014
1413747440 132852 1413747439 3023.3748N 09743.5353W 255.2M 101.26 1.03K 193719.000A2 NAD 191014
1413747441 133857 1413747440 3023.3748N 09743.5353W 255.1M 101.26 0.90K 193720.000A2 NAD 191014
1413747442 134865 1413747441 3023.3746N 09743.5353W 255.0M 101.26 0.86K 193721.000A2 NAD 191014
1413747443 135870 1413747442 3023.3746N 09743.5353W 254.9M 101.26 0.81K 193722.000A2 NAD 191014
1413747444 136875 1413747444 3023.3745N 09743.5357W 254.9M 101.26 0.69K 193724.000A2 NAD 191014
1413747445 137879 1413747445 3023.3746N 09743.5359W 254.9M 101.26 0.57K 193725.000A2 NAD 191014
1413747446 138882 1413747446 3023.3747N 09743.5361W 254.9M 101.26 0.57K 193726.000A2 NAD 191014
1413747447 139886 1413747447 3023.3746N 09743.5363W 254.8M 101.26 0.52K 193727.000A2 NAD 191014
1413747448 140889 1413747448 3023.3745N 09743.5368W 254.7M 101.26 0.13K 193728.000A2 NAD 191014
1413747449 141892 1413747449 3023.3743N 09743.5372W 254.6M 101.26 0.19K 193729.000A2 NAD 191014
1413747450 142902 1413747450 3023.3739N 09743.5376W 254.5M 101.26 0.53K 193730.000A2 NAD 191014
1413747451 143910 1413747451 3023.3736N 09743.5380W 254.4M 101.26 0.55K 193731.000A2 NAD 191014
1413747452 144911 1413747452 3023.3733N 09743.5385W 254.3M 101.26 0.86K 193732.000A2 NAD 191014
1413747453 145916 1413747453 3023.3732N 09743.5387W 254.2M 101.26 0.77K 193733.000A2 NAD 191014
1413747454 146923 1413747454 3023.3732N 09743.5388W 254.2M 101.26 0.32K 193734.000A2 NAD 191014
1413747455 147927 1413747455 3023.3731N 09743.5390W 254.2M 101.26 0.38K 193735.000A2 NAD 191014
1413747456 148945 1413747456 3023.3730N 09743.5392W 254.1M 101.26 0.47K 193736.000A2 NAD 191014
1413747457 149951 1413747456 3023.3730N 09743.5392W 254.1M 101.26 0.47K 193736.000A2 NAD 191014
1413747458 150954 1413747457 3023.3730N 09743.5393W 254.1M 101.26 0.48K 193737.000A2 NAD 191014
1413747459 151957 1413747458 3023.3732N 09743.5393W 254.2M 101.26 0.48K 193738.000A2 NAD 191014
1413747460 152959 1413747459 3023.3733N 09743.5394W 254.2M 101.26 0.54K 193739.000A2 NAD 191014
1413747461 153960 1413747460 3023.3733N 09743.5394W 254.2M 101.26 0.56K 193740.000A2 NAD 191014
1413747462 154967 1413747461 3023.3733N 09743.5394W 254.1M 101.26 0.56K 193741.000A2 NAD 191014
1413747463 155968 1413747462 3023.3734N 09743.5395W 254.1M 101.26 0.56K 193742.000A2 NAD 191014
1413747464 156973 1413747463 3023.3735N 09743.5396W 254.2M 101.26 0.57K 193743.000A2 NAD 191014
1413747465 157981 1413747464 3023.3735N 09743.5396W 254.2M 101.26 0.52K 193744.000A2 NAD 191014
1413747466 158983 1413747465 3023.3732N 09743.5396W 254.2M 101.26 0.51K 193745.000A2 NAD 191014
1413747467 159986 1413747466 3023.3732N 09743.5396W 254.2M 101.26 0.50K 193746.000A2 NAD 191014
1413747468 160988 1413747467 3023.3732N 09743.5397W 254.2M 101.26 0.48K 193747.000A2 NAD 191014
1413747469 161996 1413747468 3023.3731N 09743.5396W 254.1M 101.26 0.43K 193748.000A2 NAD 191014
1413747471 163000 1413747469 3023.3730N 09743.5396W 254.0M 101.26 0.35K 193749.000A2 NAD 191014
1413747472 164006 1413747470 3023.3730N 09743.5394W 254.0M 101.26 0.25K 193750.000A2 NAD 191014
1413747473 165013 1413747471 3023.3730N 09743.5394W 254.0M 101.26 0.15K 193751.000A2 NAD 191014
1413747474 166020 1413747472 3023.3730N 09743.5394W 254.0M 101.26 0.07K 193752.000A2 NAD 191014
1413747475 167025 1413747473 3023.3731N 09743.5394W 254.0M 101.26 0.11K 193753.000A2 NAD 191014
1413747476 168031 1413747474 3023.3730N 09743.5394W 254.0M 101.26 0.16K 193754.000A2 NAD 191014
1413747477 169036 1413747475 3023.3730N 09743.5394W 254.0M 101.26 0.29K 193755.000A2 NAD 191014
1413747478 170043 1413747476 3023.3731N 09743.5395W 254.0M 101.26 0.20K 193756.000A2 NAD 191014
1413747479 171049 1413747477 3023.3731N 09743.5395W 254.0M 101.26 0.27K 193757.000A2 NAD 191014
1413747480 172051 1413747478 3023.3731N 09743.5395W 254.0M 101.26 0.26K 193758.000A2 NAD 191014
1413747481 173052 1413747479 3023.3731N 09743.5396W 254.0M 101.26 0.26K 193759.000A2 NAD 191014
1413747482 174053 1413747481 3023.3731N 09743.5396W 254.0M 101.26 0.27K 193801.000A2 NAD 191014
1413747483 175059 1413747482 3023.3731N 09743.5397W 254.0M 101.26 0.30K 193802.000A2 NAD 191014
1413747484 176063 1413747483 3023.3730N 09743.5397W 254.0M 101.26 0.39K 193803.000A2 NAD 191014
1413747485 177067 1413747484 3023.3730N 09743.5397W 254.0M 101.26 0.31K 193804.000A2 NAD 191014
1413747486 178070 1413747485 3023.3730N 09743.5397W 254.0M 101.26 0.43K 193805.000A2 NAD 191014
1413747487 179073 1413747486 3023.3730N 09743.5398W 254.0M 101.26 0.44K 193806.000A2 NAD 191014
1413747488 180077 1413747487 3023.3729N 09743.5399W 254.0M 101.26 0.24K 193807.000A2 NAD 191014
1413747489 181078 1413747488 3023.3729N 09743.5399W 254.0M 101.26 0.25K 193808.000A2 NAD 191014
1413747490 182085 1413747489 3023.3729N 09743.5399W 254.0M 101.26 0.22K 193809.000A2 NAD 191014
1413747491 183088 1413747490 3023.3729N 09743.5399W 254.0M 101.26 0.43K 193810.000A2 NAD 191014
1413747492 184090 1413747491 3023.3729N 09743.5398W 254.0M 101.26 0.36K 193811.000A2 NAD 191014
1413747493 185096 1413747492 3023.3729N 09743.5398W 254.0M 101.26 0.43K 193812.000A2 NAD 191014
1413747494 186102 1413747493 3023.3729N 09743.5397W 254.0M 101.26 0.48K 193813.000A2 NAD 191014
1413747495 187106 1413747494 3023.3729N 09743.5396W 254.0M 101.26 0.40K 193814.000A2 NAD 191014
1413747496 188107 1413747495 3023.3730N 09743.5396W 254.0M 101.26 0.44K 193815.000A2 NAD 191014
1413747497 189110 1413747496 3023.3730N 09743.5395W 254.0M 101.26 0.51K 193816.000A2 NAD 191014
1413747498 190115 1413747497 3023.3730N 09743.5394W 254.0M 101.26 0.22K 193817.000A2 NAD 191014
1413747499 191122 1413747498 3023.3730N 09743.5394W 254.0M 101.26 0.22K 193818.000A2 NAD 191014
1413747500 192126 1413747499 3023.3730N 09743.5393W 254.0M 101.26 0.22K 193819.000A2 NAD 191014
1413747501 193135 1413747500 3023.3731N 09743.5393W 254.0M 101.26 0.28K 193820.000A2 NAD 191014
1413747502 194143 1413747500 3023.3731N 09743.5393W 254.0M 101.26 0.28K 193820.000A2 NAD 191014
1413747503 195149 1413747501 3023.3731N 09743.5393W 254.0M 101.26 0.38K 193821.000A2 NAD 191014
1413747504 196155 1413747502 3023.3732N 09743.5393W 254.0M 101.26 0.49K 193822.000A2 NAD 191014
1413747505 197161 1413747503 3023.3732N 09743.5394W 254.0M 101.26 0.27K 193823.000A2 NAD 191014
1413747506 198169 1413747504 3023.3733N 09743.5394W 254.0M 101.26 0.33K 193824.000A2 NAD 191014
1413747507 199171 1413747505 3023.3733N 09743.5394W 254.0M 101.26 0.19K 193825.000A2 NAD 191014
1413747508 200177 1413747506 3023.3733N 09743.5394W 254.0M 101.26 0.09K 193826.000A2 NAD 191014
1413747509 201178 1413747507 3023.3734N 09743.5394W 254.0M 101.26 0.29K 193827.000A2 NAD 191014
1413747510 202182 1413747508 3023.3734N 09743.5394W 254.0M 101.26 0.44K 193828.000A2 NAD 191014
1413747511 203184 1413747509 3023.3735N 09743.5394W 254.0M 101.26 0.34K 193829.000A2 NAD 191014
1413747512 204186 1413747510 3023.3735N 09743.5394W 254.0M 101.26 0.37K 193830.000A2 NAD 191014
1413747513 205200 1413747511 3023.3736N 09743.5394W 254.0M 101.26 0.26K 193831.000A2 NAD 191014
1413747514 206204 1413747512 3023.3736N 09743.5394W 254.0M 101.26 0.26K 193832.000A2 NAD 191014
1413747515 207211 1413747513 3023.3737N 09743.5394W 254.0M 101.26 0.45K 193833.000A2 NAD 191014
1413747516 208217 1413747514 3023.3737N 09743.5394W 254.0M 101.26 0.48K 193834.000A2 NAD 191014
1413747517 209218 1413747515 3023.3738N 09743.5394W 254.0M 101.26 0.36K 193835.000A2 NAD 191014
1413747518 210219 1413747517 3023.3739N 09743.5392W 254.0M 101.26 0.52K 193837.000A2 NAD 191014
1413747519 211224 1413747517 3023.3739N 09743.5392W 254.0M 101.26 0.25K 193837.000A2 NAD 191014
1413747520 212232 1413747519 3023.3739N 09743.5392W 254.0M 101.26 0.21K 193839.000A2 NAD 191014
1413747521 213240 1413747520 3023.3739N 09743.5391W 254.0M 101.26 0.27K 193840.000A2 NAD 191014
1413747522 214247 1413747521 3023.3739N 09743.5391W 254.0M 101.26 0.35K 193841.000A2 NAD 191014
1413747523 215251 1413747522 3023.3739N 09743.5390W 254.0M 101.26 0.39K 193842.000A2 NAD 191014
1413747524 216253 1413747523 3023.3739N 09743.5390W 254.0M 101.26 0.37K 193843.000A2 NAD 191014
1413747525 217257 1413747524 3023.3740N 09743.5390W 254.0M 101.26 0.26K 193844.000A2 NAD 191014
1413747526 218258 1413747525 3023.3740N 09743.5390W 254.0M 101.26 0.38K 193845.000A2 NAD 191014
1413747527 219266 1413747526 3023.3741N 09743.5390W 254.0M 101.26 0.34K 193846.000A2 NAD 191014
1413747528 220270 1413747527 3023.3741N 09743.5390W 254.0M 101.26 0.23K 193847.000A2 NAD 191014
1413747529 221279 1413747528 3023.3742N 09743.5390W 254.0M 101.26 0.29K 193848.000A2 NAD 191014
1413747530 222280 1413747529 3023.3742N 09743.5390W 254.0M 101.26 0.27K 193849.000A2 NAD 191014
1413747531 223290 1413747530 3023.3742N 09743.5391W 254.0M 101.26 0.19K 193850.000A2 NAD 191014
1413747532 224291 1413747531 3023.3742N 09743.5391W 254.0M 101.26 0.25K 193851.000A2 NAD 191014
1413747533 225293 1413747532 3023.3742N 09743.5391W 254.0M 101.26 0.17K 193852.000A2 NAD 191014
1413747534 226297 1413747533 3023.3743N 09743.5391W 254.0M 101.26 0.16K 193853.000A2 NAD 191014
1413747535 227301 1413747534 3023.3743N 09743.5392W 254.0M 101.26 0.11K 193854.000A2 NAD 191014
1413747536 228302 1413747535 3023.3743N 09743.5392W 254.0M 101.26 0.20K 193855.000A2 NAD 191014
1413747537 229307 1413747536 3023.3743N 09743.5392W 254.0M 101.26 0.37K 193856.000A2 NAD 191014
1413747538 230312 1413747537 3023.3743N 09743.5393W 254.0M 101.26 0.34K 193857.000A2 NAD 191014
1413747539 231318 1413747538 3023.3743N 09743.5393W 254.0M 101.26 0.33K 193858.000A2 NAD 191014
1413747540 232322 1413747539 3023.3744N 09743.5393W 254.0M 101.26 0.36K 193859.000A2 NAD 191014
1413747541 233327 1413747540 3023.3744N 09743.5394W 254.0M 101.26 0.25K 193900.000A2 NAD 191014
1413747542 234332 1413747541 3023.3745N 09743.5394W 254.0M 101.26 0.41K 193901.000A2 NAD 191014
1413747543 235341 1413747542 3023.3745N 09743.5394W 254.0M 101.26 0.27K 193902.000A2 NAD 191014
1413747544 236342 1413747543 3023.3746N 09743.5393W 254.0M 101.26 0.27K 193903.000A2 NAD 191014
1413747545 237348 1413747544 3023.3745N 09743.5394W 254.0M 101.26 0.29K 193904.000A2 NAD 191014
1413747546 238350 1413747545 3023.3745N 09743.5394W 254.0M 101.26 0.12K 193905.000A2 NAD 191014
1413747547 239354 1413747545 3023.3745N 09743.5394W 254.0M 101.26 0.12K 193905.000A2 NAD 191014
1413747548 240358 1413747546 3023.3745N 09743.5394W 254.0M 101.26 0.04K 193906.000A2 NAD 191014
1413747549 241360 1413747547 3023.3745N 09743.5394W 254.0M 101.26 0.09K 193907.000A2 NAD 191014
1413747550 242362 1413747548 3023.3745N 09743.5394W 254.0M 101.26 0.08K 193908.000A2 NAD 191014
1413747551 243363 1413747549 3023.3745N 09743.5394W 254.0M 101.26 0.32K 193909.000A2 NAD 191014
1413747552 244365 1413747550 3023.3746N 09743.5395W 254.0M 101.26 0.44K 193910.000A2 NAD 191014
1413747553 245368 1413747551 3023.3746N 09743.5395W 254.0M 101.26 0.58K 193911.000A2 NAD 191014
1413747554 246371 1413747552 3023.3747N 09743.5396W 254.0M 101.26 0.66K 193912.000A2 NAD 191014
1413747555 247377 1413747553 3023.3747N 09743.5397W 254.0M 101.26 0.45K 193913.000A2 NAD 191014
1413747556 248383 1413747554 3023.3748N 09743.5398W 254.0M 101.26 0.26K 193914.000A2 NAD 191014
1413747557 249390 1413747556 3023.3748N 09743.5398W 254.0M 101.26 0.16K 193916.000A2 NAD 191014
1413747558 250399 1413747557 3023.3748N 09743.5398W 254.0M 101.26 0.17K 193917.000A2 NAD 191014
1413747559 251403 1413747558 3023.3748N 09743.5398W 254.0M 101.26 0.16K 193918.000A2 NAD 191014
1413747560 252412 1413747559 3023.3749N 09743.5398W 254.0M 101.26 0.15K 193919.000A2 NAD 191014
1413747561 253416 1413747560 3023.3749N 09743.5398W 254.0M 101.26 0.27K 193920.000A2 NAD 191014
1413747562 254421 1413747561 3023.3749N 09743.5398W 254.0M 101.26 0.11K 193921.000A2 NAD 191014
1413747563 255423 1413747562 3023.3749N 09743.5398W 254.0M 101.26 0.19K 193922.000A2 NAD 191014
