1413741615 utime  bx(uT) by(uT) bz(uT)  B(uT) ax    ay  az     A     gx   gy    gz   T(C) rate  track tilt roll
1413741615 mins  -1000 -1000 -1000     0    -2000 -2000 -2000  0   -2000  -2000 -2000 -2000  0  0  -180 -180
1413741615 maxs   1000  1000  1000    1000   2000  2000  2000 2000  2000   2000  2000  2000  37000 360 180 180
1413741615 attr     F     F     F      F      F     F    F     F     F      F     F     F     I F F F
1413741616 2125 6.23853 3.3945 -0.733945 7.14007 -1.4715 -0.118776 0.521295 1.56562 0.150725 1.63478 2.62263e+64 2.12222 0 0 0 0
1413741617 3127 38.2487 20.6761 -4.40754 43.7023 -8.79944 -0.754434 3.09195 9.35732 2.23293 4.42446 6.60741e+48 21.1702 12 0 0 0
1413741618 4129 38.3469 20.407 -4.67144 43.6893 -8.77318 -0.753956 3.17993 9.36211 1.23355 4.47188 2.56475e+34 21.2154 12 0 0 0
1413741619 5131 38.7148 20.7318 -4.13688 44.1108 -8.79044 -0.752527 3.15514 9.3698 1.18936 4.18638 6.91345e+19 21.2664 13 0 0 0
1413741620 6132 38.162 20.6581 -4.45748 43.623 -8.77026 -0.714806 3.10154 9.32995 1.20583 5.29147 268353 21.2101 11 0 0 0
1413741621 7137 38.3489 20.6786 -4.68705 43.8202 -8.79458 -0.747976 3.10428 9.35632 1.56901 4.71953 -1.03096 21.3153 11 0 0 0
1413741622 8142 38.3408 20.6989 -4.43956 43.7969 -8.79616 -0.743868 3.13631 9.36815 1.48624 6.76673 0.136046 21.2644 11 0 0 0
1413741623 9145 38.1811 20.4277 -4.55842 43.5415 -8.83164 -0.746631 3.17834 9.41579 1.77454 4.90267 -0.953825 21.3401 12 0 0 0
1413741624 10147 37.9229 20.0193 -4.39724 43.1075 -8.77887 -0.758025 3.16002 9.36103 1.92393 5.18354 -1.07694 21.3536 12 0 0 0
