1413747310 utime AM_vel(rpm) AM_supV(dV) AM_supI(dA) AM_bpT(dC)  AM_amT(dC) AM_motT(dC) AM_SOC AM_thr AM_rgn
1413747310 mins   0      0    -37624        0     0      0       0       0       0  
1413747310 maxs   0     37624  37624     37624 37624  37624    37624  37624  37624 
1413747310 attr   N        N      N        N      N     N       N       N       N  
1413747310 2782 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747311 3785 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747312 4790 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747313 5792 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747314 6797 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747315 7798 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747316 8801 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747317 9807 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747318 10811 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747319 11813 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747320 12818 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747321 13819 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747322 14824 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747323 15827 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747324 16832 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747325 17835 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747326 18839 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747327 19844 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747328 20847 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747329 21850 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747330 22853 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747331 23857 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747332 24862 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747333 25866 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747334 26872 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747335 27877 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747336 28882 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747337 29887 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747338 30891 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747339 31936 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747340 32938 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747341 33946 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747342 34952 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747343 35963 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747345 37387 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747346 38393 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747347 39396 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747348 40399 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747349 41406 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
1413747350 42410 -18192 -18703 -19072 -18703 -24365 0 -24096 -18725 -29180
