1413747310 utime BVLR1 OVT1 NOC1 UNDV1 Vin1 Vout1 Iin1 Tamb1 BVLR2 OVT2 NOC2 UNDV2 Vin2 Vout2 Iin2 Tamb2 BVLR3 OVT3 NOC3 UNDV3  Vin3  Vout3 Iin3 Tamb3
1413747310 mins    0    0    0    0     0     0    0     0     0    0    0    0     0     0    0     0     0    0    0    0     0     0      0     0
1413747310 maxs    1    1    1    1    1000  1000 1000  100    1    1    1    1    1000  1000 1000  100    1    1    1    1    1000  1000 1000   100
1413747310 attr    L    L    L    L     I     I    I     I     L    L    L    L     I     I    I     I     L    L    L    L     I     I      I     I
1413747362 54467 0 0 0 0 482 589 403 25 0 0 0 0 358 585 444 25 0 0 0 0 274 585 413 30
1413747363 55473 0 0 0 0 489 588 371 30 0 0 0 0 358 586 412 30 0 0 0 0 262 585 399 25
1413747364 56475 0 0 0 0 489 588 371 30 0 0 0 0 358 586 412 30 0 0 0 0 262 585 399 25
1413747365 57482 0 0 0 0 467 588 368 30 0 0 0 0 373 585 384 30 0 0 0 0 268 584 369 30
1413747366 58486 0 0 0 0 489 588 347 30 0 0 0 0 371 585 375 30 0 0 0 0 278 585 347 30
1413747367 59492 0 0 0 0 466 588 345 25 0 0 0 0 357 585 372 30 0 0 0 0 253 585 364 30
1413747368 60497 0 0 0 0 473 588 323 25 0 0 0 0 387 585 326 30 0 0 0 0 262 584 339 30
1413747369 61507 0 0 0 0 481 588 301 30 0 0 0 0 373 585 320 30 0 0 0 0 267 585 313 30
1413747370 62508 0 0 0 0 488 588 278 30 0 0 0 0 374 585 298 25 0 0 0 0 246 585 305 25
1413747371 63518 0 0 0 0 466 588 280 30 0 0 0 0 387 584 271 30 0 0 0 0 283 585 267 25
1413747372 64522 0 0 0 0 517 588 250 30 0 0 0 0 385 586 265 25 0 0 0 0 324 584 246 25
1413747373 65529 0 0 0 0 528 588 241 25 0 0 0 0 373 585 273 30 0 0 0 0 330 584 240 25
1413747374 66534 0 0 0 0 515 588 243 30 0 0 0 0 373 585 267 30 0 0 0 0 339 583 231 30
1413747375 67541 0 0 0 0 521 587 241 25 0 0 0 0 388 585 253 25 0 0 0 0 345 585 227 30
1413747376 68549 0 0 0 0 517 587 243 25 0 0 0 0 387 584 254 30 0 0 0 0 324 585 241 30
1413747377 69553 0 0 0 0 528 587 241 30 0 0 0 0 371 586 269 25 0 0 0 0 329 584 238 30
1413747378 70559 0 0 0 0 531 588 250 25 0 0 0 0 371 585 278 30 0 0 0 0 340 584 238 30
1413747379 71563 0 0 0 0 536 588 269 25 0 0 0 0 356 586 311 30 0 0 0 0 345 584 249 30
1413747380 72570 0 0 0 0 488 588 360 25 0 0 0 0 389 586 330 25 0 0 0 0 355 585 269 25
1413747381 73577 0 0 0 0 482 589 412 25 0 0 0 0 374 585 401 30 0 0 0 0 353 585 294 30
1413747382 74579 0 0 0 0 508 588 414 30 0 0 0 0 374 585 441 25 0 0 0 0 372 585 300 30
1413747383 75582 0 0 0 0 482 589 445 30 0 0 0 0 389 586 438 25 0 0 0 0 377 585 291 30
1413747384 76586 0 0 0 0 509 588 411 30 0 0 0 0 387 586 434 30 0 0 0 0 387 585 246 30
1413747385 77588 0 0 0 0 468 589 453 30 0 0 0 0 373 586 454 25 0 0 0 0 360 585 308 30
1413747386 78591 0 0 0 0 477 589 467 30 0 0 0 0 373 586 469 30 0 0 0 0 372 585 308 30
1413747387 79592 0 0 0 0 514 589 448 30 0 0 0 0 358 587 502 25 0 0 0 0 369 585 317 25
1413747388 80595 0 0 0 0 509 590 473 25 0 0 0 0 359 587 524 25 0 0 0 0 357 586 330 30
1413747389 81597 0 0 0 0 483 590 509 25 0 0 0 0 374 586 524 30 0 0 0 0 360 585 334 30
1413747390 82599 0 0 0 0 494 589 498 30 0 0 0 0 375 586 521 30 0 0 0 0 372 586 328 30
1413747391 83605 0 0 0 0 467 589 528 25 0 0 0 0 389 588 502 30 0 0 0 0 369 585 332 30
1413747392 84612 0 0 0 0 510 589 496 25 0 0 0 0 389 587 514 25 0 0 0 0 358 586 342 30
