1413747310 utime volts24 volts12 gappos gapmotor BSChKill MotCont MotPreC ArrCont ArrPreC GapD1 GapIN1 GapIN2 ArrayA ArrayB ArrayC Estop Thren
1413747382 74579 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747383 75582 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747384 76586 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747385 77588 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747386 78591 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747387 79592 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747388 80595 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747389 81597 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747390 82599 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747391 83605 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747392 84612 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747393 85620 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747394 86625 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747395 87629 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747396 88636 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747397 89637 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747398 90643 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747399 91655 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747400 92657 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747401 93660 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747402 94670 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747403 95672 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747404 96679 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747405 97683 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747406 98688 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747407 99697 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747408 100702 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747409 101709 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747410 102721 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747411 103725 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747412 104729 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747413 105730 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747414 106731 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747415 107737 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747416 108741 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747417 109748 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747418 110751 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747419 111752 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747420 112754 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747421 113758 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747422 114765 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747423 115772 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747424 116779 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747425 117783 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747426 118788 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747427 119794 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747428 120797 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747429 121798 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747430 122806 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747431 123808 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747432 124809 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747433 125815 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747434 126822 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747435 127829 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747436 128833 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747437 129834 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747438 130840 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747439 131845 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747440 132852 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747441 133857 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747442 134865 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
