1413747310 utime cmd  I(cA)    SOC   stat  on mea bal  tr  yr  mo  dy  hr  mn sc   ti
1413747310 mins   0  -32768    0     0    0  0   0    0  10   0   0   0   0  0  -32768
1413747310 maxs  99   32768  100     5    1  1   1   99  20  12  31  24  59  59  32768
1413747310 attr  H     I      I     L    L  L   L    N   N   N   N   N   N   N    I
1413747310 2782 99 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1413747311 3785 99 8 64 1 0 0 0 0 0 0 0 0 0 0 0
1413747312 4790 99 10 64 1 0 0 0 0 0 0 0 0 0 0 0
1413747313 5792 99 8 64 1 0 0 0 0 0 0 0 0 0 0 0
1413747314 6797 99 8 64 1 0 0 0 0 0 0 0 0 0 0 0
1413747315 7798 99 10 64 1 0 0 0 0 0 0 0 0 0 0 0
1413747316 8801 99 10 64 5 0 0 0 0 0 0 0 0 0 0 0
1413747317 9807 99 -62 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747318 10811 99 -55 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747319 11813 99 -47 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747320 12818 99 -30 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747321 13819 99 -55 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747322 14824 99 -55 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747323 15827 99 -55 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747324 16832 99 280 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747325 17835 99 275 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747326 18839 99 267 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747327 19844 99 262 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747328 20847 99 257 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747329 21850 99 257 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747330 22853 99 255 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747331 23857 99 252 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747332 24862 99 252 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747333 25866 99 257 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747334 26872 99 257 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747335 27877 99 255 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747336 28882 99 255 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747337 29887 99 252 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747338 30891 99 255 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747339 31936 99 252 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747340 32938 99 257 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747341 33946 99 257 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747342 34952 99 260 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747343 35963 99 272 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747345 37387 99 272 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747346 38393 99 402 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747347 39396 99 435 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747348 40399 99 435 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747349 41406 99 397 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747350 42410 99 355 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747351 43414 99 332 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747352 44417 99 342 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747353 45420 99 380 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747354 46427 99 432 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747355 47428 99 477 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747356 48431 99 495 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747357 49438 99 502 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747358 50449 99 505 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747359 51457 99 512 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747360 52460 99 510 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747361 53462 99 485 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747362 54467 99 447 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747363 55473 99 410 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747364 56475 99 385 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747365 57482 99 375 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747366 58486 99 362 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747367 59492 99 340 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747368 60497 99 317 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747369 61507 99 295 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747370 62508 99 280 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747371 63518 99 277 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747372 64522 99 272 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747373 65529 99 267 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747374 66534 99 262 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747375 67541 99 265 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747376 68549 99 265 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747377 69553 99 270 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747378 70559 99 287 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747379 71563 99 322 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747380 72570 99 385 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747381 73577 99 435 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747382 74579 99 455 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747383 75582 99 460 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747384 76586 99 460 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747385 77588 99 470 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747386 78591 99 492 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747387 79592 99 512 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747388 80595 99 527 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747389 81597 99 537 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747390 82599 99 530 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747391 83605 99 537 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747392 84612 99 555 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747393 85620 99 567 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747394 86625 99 567 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747395 87629 99 557 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747396 88636 99 542 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747397 89637 99 555 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747398 90643 99 550 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747399 91655 99 557 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747400 92657 99 560 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747401 93660 99 557 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747402 94670 99 555 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747403 95672 99 560 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747404 96679 99 560 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747405 97683 99 557 64 2 1 0 0 0 0 0 0 0 0 0 0
1413747406 98688 99 555 64 2 1 0 0 0 0 0 0 0 0 0 0
