1413741615 utime T(cK) I(cA) V(mV) V_sup(mV) Stat T(cK) I(cA) V(mV) V_sup(mV) Stat
1413741648 34232 29565 -87 13180 0 1 29430 -87 13200 77 1
1413741649 35235 29565 -87 13180 0 1 29430 -89 13195 77 1
1413741650 36237 29565 -87 13180 0 1 29430 -87 13195 77 1
1413741651 37239 29565 -87 13175 0 1 29385 -87 13195 77 1
1413741652 38243 29565 -89 13175 0 1 29430 -89 13195 77 1
1413741653 39246 29565 -87 13175 0 1 29385 -87 13195 77 1
1413741654 40249 29565 -89 13175 0 1 29385 -87 13195 77 1
1413741655 41253 29565 -87 13175 0 1 29430 -87 13190 77 1
1413741656 42259 29565 -87 13175 0 1 29430 -87 13190 77 1
1413741657 43264 29565 -87 13175 0 1 29430 -87 13190 77 1
1413741658 44272 29565 -87 13175 0 1 29385 -87 13190 77 1
1413741659 45273 29565 -87 13170 0 1 29385 -87 13190 77 1
1413741660 46275 29565 -89 13170 0 1 29430 -87 13190 77 1
1413741661 47280 29565 -87 13170 0 1 29385 -87 13190 77 1
1413741662 48281 29565 -87 13170 0 1 29385 -87 13190 77 1
1413741663 49284 29565 -87 13170 0 1 29385 -87 13185 77 1
1413741664 50286 29565 -87 13170 0 1 29385 -87 13185 77 1
1413741665 51288 29565 -87 13170 0 1 29430 -87 13185 66 1
1413741666 52295 29565 -87 13170 0 1 29430 -87 13185 77 1
1413741667 53300 29565 -87 13165 0 1 29430 -87 13185 77 1
1413741668 54304 29565 -87 13165 0 1 29430 -87 13185 77 1
1413741669 55309 29565 -87 13165 0 1 29385 -87 13185 77 1
1413741670 56314 29565 -87 13165 0 1 29385 -87 13185 77 1
1413741671 57322 29565 -87 13165 0 1 29430 -87 13185 77 1
1413741672 58330 29565 -87 13165 0 1 29430 -87 13185 77 1
1413741673 59335 29565 -87 13165 0 1 29385 -87 13180 77 1
1413741674 60341 29565 -87 13160 0 1 29430 -89 13180 77 1
1413741675 61347 29565 -87 13160 0 1 29430 -87 13180 77 1
1413741676 62353 29565 -87 13160 0 1 29430 -87 13180 77 1
1413741677 63356 29565 -87 13160 0 1 29430 -87 13180 77 1
1413741678 64357 29565 -87 13160 0 1 29430 -89 13180 77 1
1413741679 65364 29565 -87 13160 0 1 29385 -87 13180 77 1
1413741680 66365 29565 -87 13160 0 1 29430 -89 13175 77 1
1413741681 67368 29565 -87 13160 0 1 29430 -87 13180 77 1
1413741682 68376 29565 -87 13155 0 1 29385 -87 13175 77 1
1413741683 69384 29565 -87 13155 0 1 29385 -87 13175 77 1
1413741684 70385 29565 -87 13155 0 1 29385 -87 13175 77 1
1413741685 71392 29565 -89 13155 0 1 29430 -89 13175 77 1
1413741686 72393 29565 -87 13155 0 1 29385 -87 13175 77 1
1413741687 73400 29565 -87 13155 0 1 29430 -87 13175 77 1
1413741688 74408 29565 -87 13155 0 1 29385 -87 13175 77 1
1413741689 75417 29565 -87 13150 0 1 29385 -87 13175 77 1
1413741690 76426 29565 -87 13150 0 1 29430 -89 13170 77 1
1413741691 77432 29565 -89 13150 0 1 29430 -87 13170 77 1
1413741692 78438 29565 -87 13150 0 1 29430 -87 13170 77 1
1413741693 79445 29565 -87 13150 0 1 29385 -87 13170 77 1
1413741694 80446 29565 -87 13150 0 1 29430 -87 13170 77 1
1413741695 81449 29565 -87 13150 0 1 29385 -87 13170 77 1
1413741696 82456 29565 -87 13150 0 1 29385 -87 13170 77 1
1413741697 83464 29565 -87 13150 0 1 29430 -87 13170 77 1
1413741698 84467 29565 -87 13145 0 1 29385 -87 13170 77 1
1413741699 85473 29565 -87 13145 0 1 29430 -87 13165 77 1
1413741700 86477 29520 -87 13145 0 1 29430 -87 13170 77 1
1413741701 87481 29565 -89 13145 0 1 29385 -87 13165 77 1
1413741702 88483 29565 -87 13145 0 1 29385 -87 13165 77 1
1413741703 89485 29565 -87 13145 0 1 29385 -87 13165 77 1
1413741704 90489 29565 -87 13145 0 1 29430 -87 13165 77 1
1413741705 91490 29565 -87 13145 0 1 29385 -87 13165 77 1
1413741706 92493 29565 -87 13145 0 1 29430 -87 13165 77 1
1413741707 93496 29565 -89 13140 0 1 29430 -87 13165 77 1
1413741708 94498 29565 -87 13140 0 1 29430 -87 13165 77 1
1413741709 95500 29565 -87 13140 0 1 29430 -87 13165 77 1
1413741710 96502 29565 -87 13140 0 1 29385 -87 13160 77 1
1413741711 97509 29565 -87 13140 0 1 29385 -87 13160 77 1
1413741712 98513 29565 -87 13140 0 1 29430 -87 13160 77 1
1413741713 99517 29565 -87 13140 0 1 29430 -87 13160 77 1
1413741714 100522 29565 -87 13135 0 1 29385 -87 13160 77 1
1413741715 101523 29565 -87 13140 0 1 29430 -87 13160 77 1
1413741716 102529 29565 -87 13135 0 1 29385 -87 13160 77 1
1413741717 103532 29565 -87 13135 0 1 29385 -87 13160 77 1
1413741718 104537 29565 -87 13135 0 1 29430 -87 13160 77 1
1413741719 105542 29565 -87 13135 0 1 29385 -87 13160 77 1
1413741720 106543 29565 -87 13135 0 1 29385 -87 13160 77 1
1413741721 107546 29565 -87 13135 0 1 29430 -87 13155 77 1
1413741722 108547 29565 -87 13135 0 1 29430 -87 13155 77 1
1413741723 109551 29565 -87 13130 0 1 29430 -87 13155 77 1
1413741724 110556 29565 -87 13130 0 1 29430 -87 13155 77 1
1413741725 111559 29565 -87 13130 0 1 29385 -87 13155 77 1
1413741726 112566 29565 -87 13130 0 1 29430 -87 13155 77 1
1413741727 113574 29565 -87 13130 0 1 29385 -87 13155 77 1
1413741728 114578 29565 -87 13130 0 1 29430 -87 13155 77 1
1413741729 115584 29565 -87 13130 0 1 29385 -87 13155 77 1
1413741730 116587 29565 -87 13130 0 1 29430 -87 13150 77 1
1413741731 117594 29565 -87 13130 0 1 29430 -87 13150 77 1
1413741732 118600 29565 -87 13130 0 1 29430 -87 13150 77 1
1413741733 119607 29565 -87 13125 0 1 29385 -87 13150 77 1
1413741734 120615 29520 -87 13125 0 1 29430 -87 13150 77 1
1413741735 121626 29565 -87 13125 0 1 29430 -87 13150 77 1
1413741736 122627 29565 -87 13125 0 1 29385 -87 13150 77 1
1413741737 123628 29565 -87 13125 0 1 29430 -87 13150 77 1
1413741738 124630 29565 -87 13125 0 1 29430 -87 13150 77 1
1413741739 125636 29565 -87 13125 0 1 29385 -87 13150 77 1
1413741740 126642 29565 -87 13120 0 1 29385 -87 13150 77 1
1413741741 127649 29565 -87 13125 0 1 29430 -87 13145 77 1
1413741742 128652 29565 -89 13125 0 1 29430 -87 13145 77 1
1413741743 129654 29565 -87 13120 0 1 29385 -87 13145 77 1
1413741744 130658 29565 -87 13120 0 1 29385 -87 13145 77 1
1413741745 131666 29565 -87 13120 0 1 29385 -87 13145 77 1
1413741746 132676 29565 -87 13120 0 1 29430 -87 13145 77 1
1413741747 133679 29565 -87 13120 0 1 29385 -87 13145 77 1
1413741748 134683 29565 -87 13120 0 1 29385 -87 13145 77 1
1413741749 135684 29565 -87 13120 0 1 29430 -87 13145 77 1
1413741750 136692 29565 -87 13120 0 1 29385 -87 13145 77 1
1413741751 137697 29565 -87 13120 0 1 29385 -87 13140 77 1
1413741752 138703 29565 -87 13115 0 1 29385 -87 13140 77 1
1413741753 139707 29565 -87 13120 0 1 29430 -87 13140 77 1
1413741754 140712 29565 -87 13115 0 1 29385 -87 13140 77 1
1413741755 141716 29565 -87 13115 0 1 29430 -87 13140 77 1
1413741756 142722 29565 -87 13115 0 1 29385 -87 13140 77 1
1413741757 143730 29565 -87 13115 0 1 29430 -87 13140 77 1
1413741758 144732 29565 -87 13115 0 1 29385 -87 13140 77 1
1413741759 145733 29565 -87 13115 0 1 29430 -87 13140 77 1
1413741760 146736 29565 -87 13115 0 1 29430 -87 13140 77 1
1413741761 147737 29565 -87 13110 0 1 29385 -87 13140 77 1
1413741762 148744 29565 -87 13110 0 1 29430 -87 13140 77 1
1413741763 149753 29565 -87 13110 0 1 29430 -87 13140 77 1
1413741764 150754 29520 -87 13110 0 1 29430 -87 13140 77 1
1413741765 151757 29520 -87 13110 0 1 29430 -87 13135 77 1
1413741766 152762 29565 -87 13110 0 1 29385 -87 13135 77 1
1413741767 153769 29565 -87 13110 0 1 29430 -87 13135 77 1
1413741768 154773 29565 -87 13110 0 1 29430 -87 13135 77 1
1413741769 155780 29565 -87 13110 0 1 29385 -87 13135 77 1
1413741770 156785 29565 -87 13110 0 1 29385 -87 13135 77 1
1413741771 157786 29565 -87 13110 0 1 29385 -87 13135 77 1
1413741772 158792 29565 -87 13105 0 1 29385 -87 13135 77 1
1413741773 159798 29565 -87 13105 0 1 29385 -87 13135 77 1
1413741774 160805 29565 -87 13105 0 1 29430 -87 13130 77 1
1413741775 161810 29565 -87 13105 0 1 29385 -87 13130 77 1
1413741776 162813 29565 -87 13105 0 1 29385 -87 13130 77 1
1413741777 163814 29565 -87 13105 0 1 29385 -87 13130 77 1
1413741778 164821 29565 -87 13105 0 1 29430 -87 13130 77 1
1413741779 165823 29565 -87 13105 0 1 29385 -87 13130 77 1
1413741780 166828 29565 -87 13105 0 1 29430 -87 13130 77 1
1413741781 167832 29565 -87 13105 0 1 29385 -87 13130 77 1
1413741782 168838 29565 -87 13105 0 1 29430 -87 13130 77 1
1413741783 169847 29565 -87 13100 0 1 29385 -87 13130 77 1
1413741784 170850 29565 -87 13100 0 1 29430 -87 13130 77 1
1413741785 171869 29565 -87 13100 0 1 29430 -87 13130 77 1
1413741786 172875 29565 -87 13100 0 1 29385 -87 13125 77 1
1413741787 173876 29565 -89 13100 0 1 29385 -87 13125 77 1
1413741788 174883 29565 -87 13100 0 1 29385 -87 13125 77 1
1413741789 175888 29565 -87 13100 0 1 29430 -87 13125 77 1
1413741790 176896 29565 -87 13100 0 1 29430 -87 13125 77 1
1413741791 177899 29565 -87 13100 0 1 29430 -87 13125 77 1
1413741792 178906 29520 -87 13100 0 1 29430 -87 13125 77 1
1413741793 179914 29565 -87 13095 0 1 29430 -87 13125 77 1
1413741794 180919 29565 -87 13095 0 1 29430 -87 13125 77 1
1413741795 181921 29520 -87 13095 0 1 29430 -87 13125 77 1
1413741796 182924 29565 -87 13095 0 1 29430 -87 13125 77 1
1413741797 183925 29565 -87 13095 0 1 29385 -87 13125 77 1
1413741798 184928 29565 -87 13095 0 1 29385 -87 13125 77 1
1413741799 185931 29565 -87 13095 0 1 29430 -87 13120 77 1
1413741800 186934 29565 -87 13095 0 1 29385 -87 13120 77 1
1413741801 187941 29565 -87 13095 0 1 29430 -87 13120 77 1
1413741802 188949 29565 -87 13095 0 1 29385 -87 13120 77 1
1413741803 189953 29565 -87 13095 0 1 29385 -87 13120 77 1
1413741804 190961 29565 -87 13090 0 1 29430 -87 13120 77 1
1413741805 191969 29565 -87 13090 0 1 29430 -87 13120 77 1
1413741806 192975 29565 -87 13090 0 1 29385 -87 13120 77 1
1413741807 193980 29565 -87 13090 0 1 29385 -87 13120 77 1
1413741808 194984 29565 -87 13090 0 1 29430 -87 13120 77 1
1413741809 195992 29565 -87 13090 0 1 29385 -87 13120 77 1
1413741810 196998 29565 -87 13090 0 1 29430 -87 13120 77 1
1413741812 198002 29520 -87 13090 0 1 29430 -87 13120 77 1
1413741813 199008 29565 -87 13090 0 1 29385 -87 13120 77 1
1413741814 200014 29565 -87 13090 0 1 29385 -87 13120 77 1
1413741815 201018 29565 -87 13090 0 1 29385 -87 13120 77 1
1413741816 202019 29565 -87 13090 0 1 29385 -87 13120 77 1
1413741817 203020 29565 -87 13085 0 1 29430 -87 13115 77 1
1413741818 204025 29565 -87 13090 0 1 29430 -87 13115 77 1
1413741819 205030 29565 -87 13085 0 1 29385 -87 13115 77 1
1413741820 206037 29565 -87 13085 0 1 29385 -87 13115 77 1
1413741821 207038 29565 -87 13085 0 1 29385 -87 13115 77 1
1413741822 208039 29565 -87 13085 0 1 29430 -87 13115 77 1
1413741823 209045 29565 -87 13085 0 1 29385 -87 13115 77 1
1413741824 210049 29520 -87 13085 0 1 29430 -87 13110 77 1
1413741825 211051 29520 -89 13085 0 1 29430 -89 13110 77 1
1413741826 212058 29520 -87 13085 0 1 29430 -87 13110 77 1
1413741827 213063 29565 -87 13085 0 1 29385 -87 13110 77 1
1413741828 214069 29565 -87 13085 0 1 29385 -87 13110 77 1
1413741829 215072 29565 -87 13085 0 1 29430 -87 13110 77 1
1413741830 216075 29565 -87 13080 0 1 29385 -87 13110 77 1
1413741831 217080 29565 -87 13080 0 1 29430 -87 13110 77 1
1413741832 218086 29520 -87 13080 0 1 29430 -87 13110 77 1
1413741833 219089 29565 -87 13080 0 1 29430 -87 13110 77 1
1413741834 220095 29565 -87 13080 0 1 29430 -87 13110 77 1
1413741835 221100 29565 -87 13080 0 1 29385 -87 13110 77 1
1413741836 222103 29565 -87 13080 0 1 29430 -87 13110 77 1
1413741837 223108 29520 -87 13080 0 1 29430 -89 13110 77 1
1413741838 224114 29520 -87 13080 0 1 29430 -87 13110 77 1
1413741839 225121 29565 -87 13080 0 1 29385 -87 13105 77 1
1413741840 226126 29565 -87 13080 0 1 29385 -87 13105 77 1
1413741841 227127 29565 -87 13075 0 1 29430 -87 13105 77 1
1413741842 228128 29565 -87 13075 0 1 29430 -87 13105 77 1
1413741843 229129 29565 -87 13075 0 1 29385 -87 13105 77 1
1413741844 230134 29565 -87 13075 0 1 29430 -87 13105 77 1
1413741845 231143 29565 -87 13075 0 1 29430 -87 13105 77 1
1413741846 232146 29520 -87 13075 0 1 29430 -87 13105 77 1
1413741847 233155 29565 -87 13075 0 1 29385 -87 13105 77 1
1413741848 234162 29565 -87 13075 0 1 29385 -87 13105 77 1
1413741849 235163 29565 -87 13075 0 1 29385 -87 13105 77 1
1413741850 236164 29565 -87 13075 0 1 29430 -87 13105 77 1
1413741851 237165 29565 -87 13075 0 1 29385 -87 13105 77 1
1413741852 238166 29565 -87 13075 0 1 29385 -87 13105 77 1
1413741853 239175 29565 -87 13070 0 1 29385 -87 13105 77 1
1413741854 240177 29520 -87 13070 0 1 29385 -87 13100 77 1
1413741855 241183 29520 -87 13070 0 1 29430 -87 13100 77 1
1413741856 242188 29565 -87 13070 0 1 29385 -87 13100 77 1
1413741857 243190 29565 -87 13070 0 1 29385 -87 13100 77 1
1413741858 244197 29565 -87 13070 0 1 29385 -87 13100 77 1
1413741859 245199 29565 -87 13070 0 1 29385 -87 13100 77 1
1413741860 246206 29565 -87 13070 0 1 29385 -87 13100 66 1
1413741861 247213 29565 -87 13070 0 1 29430 -87 13100 77 1
1413741862 248218 29520 -87 13070 0 1 29385 -87 13100 77 1
1413741863 249222 29565 -87 13070 0 1 29385 -87 13100 77 1
1413741864 250223 29520 -87 13070 0 1 29385 -87 13100 77 1
1413741865 251230 29520 -87 13070 0 1 29430 -87 13100 77 1
1413741866 252241 29520 -87 13070 0 1 29430 -87 13100 77 1
1413741867 253247 29565 -87 13065 0 1 29385 -87 13095 77 1
1413741868 254250 29520 -89 13065 0 1 29385 -87 13095 77 1
1413741869 255256 29520 -87 13065 0 1 29385 -87 13095 77 1
1413741870 256263 29565 -87 13065 0 1 29385 -87 13095 77 1
1413741871 257265 29565 -87 13065 0 1 29385 -87 13095 77 1
1413741872 258267 29565 -87 13065 0 1 29385 -87 13095 77 1
1413741873 259273 29565 -87 13065 0 1 29430 -87 13095 77 1
1413741874 260280 29565 -87 13065 0 1 29385 -87 13095 77 1
1413741875 261285 29520 -87 13065 0 1 29430 -87 13095 77 1
1413741876 262291 29565 -87 13065 0 1 29385 -87 13095 77 1
1413741877 263295 29565 -87 13065 0 1 29430 -87 13095 77 1
1413741878 264297 29565 -87 13065 0 1 29385 -87 13095 77 1
1413741879 265299 29565 -87 13060 0 1 29385 -87 13095 77 1
1413741880 266300 29565 -87 13065 0 1 29430 -87 13090 77 1
1413741881 267304 29565 -87 13060 0 1 29385 -87 13090 77 1
1413741882 268307 29520 -87 13060 0 1 29430 -87 13090 77 1
1413741883 269313 29520 -87 13060 0 1 29430 -87 13090 77 1
1413741884 270316 29565 -87 13060 0 1 29430 -87 13090 77 1
1413741885 271319 29565 -87 13060 0 1 29430 -87 13090 77 1
1413741886 272323 29565 -87 13060 0 1 29430 -87 13090 77 1
1413741887 273331 29565 -87 13060 0 1 29385 -87 13090 77 1
1413741888 274338 29565 -87 13060 0 1 29430 -87 13090 77 1
1413741889 275345 29565 -87 13060 0 1 29385 -87 13090 77 1
1413741890 276347 29565 -87 13060 0 1 29430 -87 13090 77 1
1413741891 277351 29565 -87 13060 0 1 29430 -87 13090 77 1
1413741892 278358 29565 -87 13060 0 1 29430 -87 13090 77 1
1413741893 279359 29565 -87 13060 0 1 29385 -87 13090 77 1
1413741894 280360 29520 -87 13055 0 1 29385 -87 13090 77 1
1413741895 281363 29565 -87 13055 0 1 29430 -87 13090 77 1
1413741896 282367 29565 -87 13055 0 1 29385 -87 13090 77 1
1413741897 283372 29520 -87 13055 0 1 29430 -87 13085 77 1
1413741898 284376 29565 -87 13055 0 1 29430 -87 13085 77 1
1413741899 285391 29565 -87 13055 0 1 29430 -87 13085 77 1
1413741900 286396 29520 -87 13055 0 1 29430 -87 13085 77 1
1413741901 287398 29565 -87 13055 0 1 29385 -87 13085 77 1
1413741902 288401 29565 -87 13055 0 1 29385 -87 13085 77 1
1413741903 289408 29565 -87 13055 0 1 29430 -87 13085 77 1
1413741904 290415 29520 -87 13055 0 1 29430 -87 13085 77 1
1413741905 291416 29520 -87 13055 0 1 29430 -87 13085 77 1
1413741906 292420 29520 -87 13050 0 1 29385 -87 13085 77 1
1413741907 293422 29565 -87 13055 0 1 29430 -87 13085 77 1
1413741908 294425 29565 -87 13050 0 1 29385 -87 13085 77 1
1413741909 295428 29565 -87 13050 0 1 29385 -87 13085 77 1
1413741910 296429 29565 -87 13050 0 1 29385 -87 13080 77 1
1413741911 297430 29565 -87 13050 0 1 29385 -87 13085 77 1
1413741912 298431 29520 -87 13050 0 1 29385 -87 13080 77 1
1413741913 299437 29565 -87 13050 0 1 29430 -87 13080 77 1
1413741914 300444 29565 -87 13050 0 1 29385 -87 13080 77 1
1413741915 301449 29565 -87 13050 0 1 29385 -87 13080 77 1
1413741916 302453 29565 -87 13050 0 1 29430 -87 13080 77 1
1413741917 303460 29565 -87 13050 0 1 29430 -87 13080 77 1
1413741918 304461 29565 -87 13050 0 1 29385 -87 13080 77 1
1413741919 305466 29565 -87 13050 0 1 29385 -87 13080 77 1
1413741920 306471 29565 -87 13050 0 1 29385 -87 13080 77 1
1413741921 307472 29565 -87 13050 0 1 29385 -87 13080 77 1
1413741922 308474 29565 -87 13045 0 1 29385 -87 13080 77 1
1413741923 309477 29565 -87 13045 0 1 29385 -87 13080 77 1
1413741924 310479 29565 -87 13045 0 1 29430 -87 13080 77 1
1413741925 311483 29565 -87 13045 0 1 29430 -87 13075 77 1
1413741926 312488 29565 -87 13045 0 1 29385 -87 13075 77 1
1413741927 313496 29565 -87 13045 0 1 29430 -87 13075 77 1
1413741928 314502 29520 -87 13045 0 1 29430 -87 13075 77 1
1413741929 315508 29565 -87 13045 0 1 29385 -87 13075 77 1
1413741930 316515 29520 -87 13045 0 1 29430 -87 13075 77 1
1413741931 317520 29565 -87 13045 0 1 29385 -87 13075 77 1
1413741932 318525 29565 -87 13045 0 1 29385 -87 13075 77 1
1413741933 319529 29565 -87 13045 0 1 29385 -87 13075 77 1
1413741934 320534 29520 -87 13045 0 1 29430 -87 13075 77 1
1413741935 321535 29565 -87 13040 0 1 29385 -87 13075 77 1
1413741936 322536 29565 -87 13040 0 1 29385 -87 13075 77 1
1413741937 323538 29520 -87 13040 0 1 29385 -87 13075 77 1
1413741938 324544 29565 -87 13040 0 1 29430 -87 13070 77 1
1413741939 325546 29565 -87 13040 0 1 29430 -87 13075 77 1
1413741940 326548 29565 -87 13040 0 1 29385 -87 13070 77 1
1413741941 327554 29565 -87 13040 0 1 29430 -87 13070 77 1
1413741942 328559 29565 -87 13040 0 1 29430 -87 13070 77 1
1413741943 329560 29520 -87 13040 0 1 29430 -87 13070 77 1
1413741944 330561 29565 -87 13040 0 1 29430 -87 13070 77 1
1413741945 331564 29565 -87 13040 0 1 29385 -87 13070 77 1
1413741946 332571 29565 -87 13040 0 1 29385 -87 13070 77 1
1413741947 333577 29565 -87 13040 0 1 29385 -87 13070 77 1
1413741948 334579 29520 -87 13040 0 1 29430 -87 13070 77 1
1413741949 335582 29565 -87 13040 0 1 29385 -87 13070 77 1
1413741950 336587 29565 -87 13040 0 1 29385 -87 13070 77 1
1413741951 337593 29520 -87 13035 0 1 29430 -87 13070 77 1
1413741952 338594 29520 -87 13035 0 1 29385 -87 13070 77 1
1413741953 339600 29565 -87 13035 0 1 29385 -87 13070 77 1
1413741954 340607 29565 -87 13035 0 1 29385 -87 13065 77 1
1413741955 341610 29520 -87 13035 0 1 29385 -87 13065 77 1
1413741956 342619 29565 -87 13035 0 1 29430 -87 13065 77 1
1413741957 343623 29565 -87 13035 0 1 29430 -87 13065 77 1
1413741958 344624 29565 -87 13035 0 1 29430 -87 13065 77 1
1413741959 345627 29565 -87 13035 0 1 29385 -87 13065 77 1
1413741960 346641 29520 -87 13035 0 1 29385 -87 13065 77 1
1413741961 347642 29520 -87 13035 0 1 29385 -87 13065 77 1
1413741962 348647 29565 -87 13035 0 1 29385 -87 13065 77 1
1413741963 349654 29565 -87 13035 0 1 29430 -87 13065 77 1
1413741964 350660 29565 -87 13035 0 1 29430 -87 13065 77 1
1413741965 351669 29565 -87 13035 0 1 29430 -87 13065 77 1
1413741966 352673 29565 -87 13030 0 1 29385 -87 13065 77 1
1413741967 353680 29520 -87 13035 0 1 29430 -87 13065 77 1
1413741968 354685 29520 -87 13035 0 1 29430 -87 13065 77 1
1413741969 355687 29565 -87 13030 0 1 29385 -87 13060 77 1
1413741970 356688 29565 -87 13030 0 1 29385 -87 13060 77 1
1413741971 357696 29565 -87 13030 0 1 29430 -87 13060 77 1
1413741972 358701 29520 -87 13030 0 1 29430 -87 13060 77 1
1413741973 359709 29565 -87 13030 0 1 29385 -87 13060 77 1
1413741974 360721 29520 -87 13030 0 1 29430 -87 13060 77 1
1413741975 361724 29520 -87 13030 0 1 29430 -87 13060 77 1
1413741976 362727 29565 -87 13030 0 1 29385 -87 13060 77 1
1413741977 363729 29520 -87 13030 0 1 29430 -87 13060 77 1
1413741978 364736 29565 -87 13030 0 1 29385 -87 13060 77 1
1413741979 365741 29565 -87 13030 0 1 29430 -87 13060 77 1
1413741980 366748 29565 -87 13030 0 1 29385 -87 13060 77 1
1413741981 367754 29520 -87 13030 0 1 29430 -87 13060 77 1
1413741982 368761 29565 -87 13025 0 1 29430 -87 13060 77 1
1413741983 369765 29520 -87 13030 0 1 29430 -87 13060 77 1
1413741984 370771 29565 -87 13025 0 1 29385 -87 13055 77 1
1413741985 371775 29565 -87 13025 0 1 29385 -87 13060 77 1
1413741986 372780 29565 -87 13025 0 1 29385 -87 13055 77 1
1413741987 373782 29565 -87 13025 0 1 29385 -87 13055 77 1
1413741988 374783 29565 -87 13025 0 1 29385 -87 13055 77 1
1413741989 375789 29520 -87 13025 0 1 29430 -87 13055 77 1
1413741990 376792 29520 -87 13025 0 1 29385 -87 13055 77 1
1413741991 377803 29565 -87 13025 0 1 29385 -87 13055 77 1
1413741992 378807 29565 -87 13025 0 1 29385 -87 13055 77 1
1413741993 379810 29565 -87 13025 0 1 29385 -87 13055 77 1
1413741994 380811 29565 -87 13025 0 1 29385 -87 13055 77 1
1413741995 381818 29565 -87 13025 0 1 29430 -87 13055 77 1
1413741996 382823 29565 -87 13025 0 1 29385 -87 13055 77 1
1413741997 383830 29565 -87 13025 0 1 29385 -87 13055 77 1
1413741998 384836 29565 -87 13025 0 1 29385 -87 13050 77 1
1413741999 385843 29565 -87 13020 0 1 29385 -87 13050 77 1
1413742000 386850 29565 -87 13020 0 1 29385 -87 13050 77 1
1413742001 387853 29565 -87 13020 0 1 29385 -87 13050 77 1
1413742002 388859 29565 -87 13020 0 1 29385 -87 13050 77 1
1413742003 389863 29565 -87 13020 0 1 29385 -87 13050 77 1
1413742004 390865 29565 -87 13020 0 1 29430 -87 13050 77 1
1413742005 391873 29565 -87 13020 0 1 29430 -87 13050 77 1
1413742006 392875 29565 -87 13020 0 1 29385 -87 13050 77 1
1413742007 393878 29565 -87 13020 0 1 29385 -87 13050 77 1
1413742008 394882 29565 -87 13020 0 1 29385 -87 13050 77 1
1413742009 395884 29520 -87 13020 0 1 29385 -87 13050 77 1
1413742010 396890 29565 -87 13020 0 1 29385 -87 13050 77 1
1413742011 397892 29565 -87 13020 0 1 29430 -87 13050 77 1
1413742012 398899 29565 -87 13020 0 1 29430 -87 13050 77 1
1413742013 399902 29520 -87 13020 0 1 29385 -87 13045 77 1
1413742014 400908 29565 -87 13020 0 1 29430 -87 13045 77 1
1413742015 401915 29565 -87 13020 0 1 29385 -87 13045 77 1
1413742016 402922 29520 -87 13020 0 1 29385 -87 13045 77 1
1413742017 403927 29565 -87 13020 0 1 29385 -87 13045 77 1
1413742018 404929 29565 -87 13020 0 1 29430 -87 13045 77 1
1413742019 405931 29520 -87 13015 0 1 29430 -87 13045 77 1
1413742020 406933 29565 -87 13015 0 1 29385 -87 13045 77 1
1413742021 407941 29520 -87 13015 0 1 29430 -87 13045 77 1
