1413741615 utime T(cK) I(cA) V(mV) V_sup(mV) Stat T(cK) I(cA) V(mV) V_sup(mV) Stat
1413741615 mins   0      0     0     0        0     0     0    0      0        0  
1413741615 maxs  32768   32768  32768  32768 32768 32768 32768 32768  32768  32768
1413741615 attr  N        N      N       N     N     N     N     N    N       N 
1413741616 2125 0 0 0 0 0 0 0 0 0 0
1413741617 3127 29565 -89 13205 0 1 29385 -89 13215 77 1
1413741618 4129 29565 -89 13205 0 1 29430 -89 13215 77 1
1413741619 5131 29565 -89 13200 0 1 29430 -89 13215 77 1
1413741620 6132 29565 -87 13200 0 1 29430 -89 13215 77 1
1413741621 7137 29565 -89 13200 0 1 29430 -89 13215 77 1
1413741622 8142 29565 -87 13200 0 1 29385 -87 13215 77 1
1413741623 9145 29565 -89 13200 0 1 29430 -89 13215 77 1
1413741624 10147 29565 -89 13200 0 1 29385 -89 13210 77 1
1413741625 11150 29565 -89 13195 0 1 29385 -89 13210 77 1
1413741626 12154 29565 -89 13195 0 1 29430 -89 13210 77 1
1413741627 13159 29565 -89 13195 0 1 29430 -89 13210 77 1
1413741628 14162 29565 -89 13195 0 1 29385 -89 13210 77 1
1413741629 15167 29565 -89 13195 0 1 29430 -89 13210 77 1
1413741630 16171 29565 -89 13195 0 1 29430 -89 13210 77 1
1413741631 17173 29565 -89 13190 0 1 29430 -89 13210 77 1
1413741632 18178 29565 -89 13190 0 1 29430 -89 13205 77 1
1413741633 19183 29565 -89 13190 0 1 29430 -89 13205 77 1
1413741634 20184 29565 -89 13190 0 1 29430 -89 13205 77 1
1413741635 21185 29565 -89 13190 0 1 29430 -89 13205 77 1
1413741636 22187 29565 -89 13190 0 1 29430 -89 13205 77 1
1413741637 23195 29565 -89 13190 0 1 29430 -89 13205 77 1
1413741638 24198 29565 -89 13185 0 1 29385 -89 13205 77 1
1413741639 25202 29565 -89 13185 0 1 29385 -89 13200 77 1
1413741640 26203 29565 -89 13185 0 1 29430 -89 13200 77 1
1413741641 27206 29565 -87 13185 0 1 29430 -89 13200 77 1
1413741642 28210 29565 -89 13185 0 1 29430 -89 13200 77 1
1413741643 29211 29565 -89 13185 0 1 29385 -89 13200 77 1
1413741644 30212 29565 -89 13185 0 1 29430 -89 13200 77 1
1413741645 31218 29565 -89 13180 0 1 29430 -89 13200 77 1
1413741646 32222 29565 -87 13180 0 1 29385 -87 13200 77 1
1413741647 33226 29565 -89 13180 0 1 29430 -87 13200 77 1
