1413747310 utime  bx(uT) by(uT) bz(uT)  B(uT) ax    ay  az     A     gx   gy    gz   T(C) rate  track tilt roll
1413747310 mins  -1000 -1000 -1000     0    -2000 -2000 -2000  0   -2000  -2000 -2000 -2000  0  0  -180 -180
1413747310 maxs   1000  1000  1000    1000   2000  2000  2000 2000  2000   2000  2000  2000  37000 360 180 180
1413747310 attr     F     F     F      F      F     F    F     F     F      F     F     F     I F F F
1413747342 34952 33.4681 26.871 -0.557263 42.9241 -8.74856 -0.670823 3.29393 9.37215 2.07844 4.78046 -1.56784 41.8396 7 0 0 0
1413747343 35963 33.0341 26.2709 -0.795804 42.2143 -8.72741 -0.660735 3.27721 9.34582 1.84901 4.69206 -1.16688 41.6882 6 0 0 0
1413747345 37387 32.9719 26.2655 -0.816075 42.1626 -8.73774 -0.656192 3.2787 9.35567 2.422 4.71005 -1.50573 41.7127 8 0 0 0
1413747346 38393 32.9262 26.4003 -1.13737 42.2185 -8.75515 -0.642089 3.26886 9.36752 2.97528 6.00664 -2.198 41.7873 7 0 0 0
1413747347 39396 32.7065 26.3531 -1.41216 42.0262 -8.76752 -0.641236 3.25781 9.37518 2.45235 5.79056 -1.02901 41.9027 8 0 0 0
1413747348 40399 32.7345 26.2628 -1.14831 41.9834 -8.75127 -0.659622 3.24823 9.35793 2.09057 4.96239 -1.23769 41.8109 8 0 0 0
1413747349 41406 33.0515 26.188 -0.90332 42.1785 -8.76985 -0.652716 3.27446 9.38394 2.7046 5.54501 -1.93767 41.9074 8 0 0 0
1413747350 42410 33.1894 26.0959 -1.20681 42.2373 -8.75372 -0.636076 3.2527 9.36014 2.15087 3.79761 -0.722384 41.8967 8 0 0 0
1413747351 43414 33.3836 26.8818 -1.09645 42.8754 -8.74092 -0.639713 3.27409 9.35588 2.64379 5.24926 -1.08629 42.0186 9 0 0 0
1413747352 44417 33.6431 26.5351 -1.14266 42.8635 -8.75538 -0.667014 3.28877 9.37644 2.84217 4.80295 -0.473202 41.909 7 0 0 0
1413747353 45420 32.6435 26.2522 -0.70382 41.896 -8.76695 -0.655817 3.27263 9.38081 2.29338 4.36458 -1.88691 41.9208 8 0 0 0
1413747354 46427 32.8455 26.134 -1.18449 41.9907 -8.77188 -0.637511 3.2712 9.38366 2.36658 5.01747 -0.955535 41.9969 8 0 0 0
1413747355 47428 32.5992 25.7935 -1.15656 41.5855 -8.78838 -0.642235 3.27382 9.40032 0.763339 3.64563 -2.29885 41.982 8 0 0 0
1413747356 48431 32.4301 25.9343 -1.40594 41.5485 -8.75538 -0.639984 3.286 9.37358 2.60653 5.94921 -1.46832 41.9172 8 0 0 0
1413747357 49438 32.0754 25.9362 -1.27364 41.2691 -8.78355 -0.629247 3.28316 9.39818 1.82992 5.15465 -1.0339 41.9564 8 0 0 0
1413747358 50449 32.3996 25.6548 -0.955564 41.3378 -8.76628 -0.651779 3.26589 9.37755 3.06614 4.80134 -0.753518 42.0873 9 0 0 0
1413747359 51457 32.6555 25.4667 -1.34868 41.4337 -8.75076 -0.667629 3.27466 9.36723 1.90885 5.34319 -1.13723 41.9981 7 0 0 0
1413747360 52460 32.7059 25.1065 -0.862689 41.2403 -8.767 -0.6556 3.29212 9.38766 1.8112 5.08685 -0.917447 41.9888 7 0 0 0
1413747361 53462 32.0952 24.9811 -0.850253 40.6802 -8.782 -0.655815 3.27377 9.39527 3.11679 5.94628 -2.22908 42.0899 8 0 0 0
1413747362 54467 32.9522 25.8526 -0.79725 41.8908 -8.78647 -0.641177 3.28672 9.40296 2.35697 4.81061 -2.2373 41.9682 7 0 0 0
1413747363 55473 32.9645 25.8258 -0.722163 41.8826 -8.76286 -0.633898 3.28053 9.37825 1.43397 5.23231 -1.37316 42.0728 8 0 0 0
1413747364 56475 32.8564 26.3117 -0.646665 42.0984 -8.75407 -0.650653 3.28392 9.37236 3.39553 4.27135 0.283972 42.0742 7 0 0 0
1413747365 57482 33.189 26.1377 -0.839938 42.2539 -8.77263 -0.639638 3.26841 9.38353 1.10347 4.76976 -0.609708 42.04 8 0 0 0
1413747366 58486 33.2708 26.3794 -0.923356 42.4696 -8.76987 -0.635865 3.28289 9.38575 2.24006 5.23965 -1.96289 42.1398 8 0 0 0
1413747367 59492 32.9675 26.3847 -0.620482 42.2302 -8.75415 -0.649392 3.27478 9.36915 1.81505 5.75026 -1.40187 42.1572 8 0 0 0
1413747368 60497 32.9675 26.2289 -0.681162 42.134 -8.74493 -0.677835 3.26162 9.35796 2.11843 4.51715 -1.25066 42.1015 7 0 0 0
1413747369 61507 33.4538 26.1037 -0.776689 42.4401 -8.75728 -0.64473 3.28594 9.37566 2.30836 4.90889 -1.85801 42.1344 8 0 0 0
1413747370 62508 33.6934 26.7935 -0.82272 43.0559 -8.76461 -0.653539 3.2724 9.37838 1.37527 5.29893 -0.901748 42.1556 8 0 0 0
1413747371 63518 33.5527 26.8574 -0.625391 42.9825 -8.77228 -0.65477 3.29636 9.39402 3.11885 4.50004 0.917648 42.1758 8 0 0 0
1413747372 64522 33.0496 26.6221 -1.02026 42.4506 -8.76585 -0.653715 3.28467 9.38384 1.9995 5.27528 -1.18567 42.0387 8 0 0 0
1413747373 65529 33.4085 27.0325 -0.999603 42.987 -8.76752 -0.656924 3.28418 9.38546 1.15269 5.57756 -1.54217 42.1522 8 0 0 0
1413747374 66534 33.146 26.4733 -0.700603 42.4262 -8.75781 -0.634405 3.27024 9.36996 1.72918 5.48617 -0.844911 42.0927 8 0 0 0
1413747375 67541 33.6289 27.0033 -0.517166 43.1317 -8.75912 -0.668824 3.2692 9.37321 2.24051 2.91531 -1.13492 42.1299 9 0 0 0
1413747376 68549 33.404 26.4945 -0.470846 42.638 -8.75025 -0.644559 3.28498 9.36874 2.71774 4.33266 -1.52225 42.1161 9 0 0 0
1413747377 69553 33.4231 26.739 -0.655045 42.8078 -8.7715 -0.639256 3.2818 9.38712 2.81923 5.07838 -0.441302 42.2563 9 0 0 0
1413747378 70559 33.1756 26.3665 -0.576845 42.381 -8.76499 -0.665357 3.27966 9.38211 2.35176 5.31052 -1.49116 42.2334 8 0 0 0
1413747379 71563 32.8823 26.4135 -1.08132 42.1911 -8.77144 -0.635937 3.26902 9.38238 1.55763 4.50639 -0.399036 42.21 1 0 0 0
1413747380 72570 32.6825 26.4116 -1.11053 42.0351 -8.7729 -0.644197 3.26244 9.38202 1.29083 5.3243 -1.13745 42.2145 9 0 0 0
1413747381 73577 33.0564 26.3297 -1.27188 42.28 -8.75507 -0.650793 3.26594 9.36702 1.36645 4.07221 -0.463346 42.2132 8 0 0 0
1413747382 74579 32.6508 25.8723 -1.26994 41.6781 -8.76513 -0.644112 3.29978 9.38781 2.16947 4.63194 -1.28719 42.2592 8 0 0 0
1413747383 75582 32.3919 26.3273 -1.22802 41.7596 -8.76696 -0.656685 3.29609 9.38909 1.94592 3.81157 -1.32705 42.2897 9 0 0 0
1413747384 76586 32.3773 26.3706 -1.40153 41.7812 -8.76902 -0.649636 3.27421 9.38287 2.82694 4.32848 -2.13085 42.2877 8 0 0 0
1413747385 77588 32.6073 26.0747 -1.39168 41.7739 -8.74558 -0.681067 3.26712 9.36072 1.87099 5.71563 -1.9813 42.2825 8 0 0 0
1413747386 78591 32.6299 26.4462 -1.14773 42.017 -8.76265 -0.65636 3.27931 9.37916 1.13498 3.46238 -1.74149 42.2514 8 0 0 0
1413747387 79592 32.4012 26.4243 -1.18254 41.8268 -8.76485 -0.653684 3.26053 9.37448 2.45257 4.32835 -0.408479 42.3258 7 0 0 0
1413747388 80595 32.4242 26.2393 -1.4467 41.7364 -8.74571 -0.629532 3.29807 9.36808 2.79858 4.43493 -0.256484 42.2953 8 0 0 0
1413747389 81597 32.0182 26.2115 -1.84263 41.4199 -8.75487 -0.663433 3.28277 9.37361 2.28918 5.01892 -2.21635 42.2835 8 0 0 0
1413747390 82599 32.1644 26.1507 -1.87087 41.4958 -8.75252 -0.63542 3.25126 9.35848 1.9397 4.43023 -0.737807 42.2723 8 0 0 0
1413747391 83605 32.4239 26.6254 -1.68691 41.9889 -8.77557 -0.634764 3.29606 9.39561 1.89123 4.81085 0.0194355 42.3699 9 0 0 0
1413747392 84612 32.3047 26.0165 -1.10087 41.4929 -8.76347 -0.650202 3.28204 9.38045 2.23169 4.27611 -0.961268 42.3598 9 0 0 0
1413747393 85620 32.1612 26.285 -1.17756 41.5528 -8.76165 -0.633934 3.26357 9.37119 2.83716 5.09046 -1.73697 42.3345 9 0 0 0
1413747394 86625 32.0501 26.372 -1.33851 41.5269 -8.74458 -0.647679 3.2626 9.35584 1.90459 4.78007 -1.56351 42.4531 9 0 0 0
1413747395 87629 32.1003 26.2226 -1.69258 41.484 -8.75591 -0.662837 3.24255 9.36052 2.57516 4.14216 -0.812525 42.3901 9 0 0 0
1413747396 88636 32.3294 26.184 -1.55436 41.6318 -8.73952 -0.647525 3.30651 9.36651 1.96864 4.59377 -1.19006 42.4157 8 0 0 0
